# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 460 6216 1484 26619 8796
p 2 4198 3309 653 56823 21389
i 2 8160 0 0 174067 26262
p 2 7561 599 0 250407 32313
p 2 1517 6641 2 334189 25763
p 2 7516 644 0 303197 37026
p 2 2116 6044 0 389717 31576
p 2 1848 6309 3 431445 31612
p 2 4434 3726 0 461409 38713
p 2 3873 4287 0 479225 37786
p 2 4176 3984 0 515585 38861
p 2 3566 4594 0 509782 37408
p 2 2966 5194 0 515054 35815
p 2 2883 5277 0 528509 35846
p 2 2734 5426 0 559392 35411
p 2 2765 5395 0 584071 35376
p 2 2925 5235 0 597438 35643
p 2 2737 5423 0 614147 34931
p 2 2449 5711 0 650217 33866
p 2 2380 5780 0 683583 33447
p 2 2213 5947 0 714242 32734
p 2 2086 6074 0 752354 32301
p 2 2157 6003 0 756303 32575
p 2 2998 5162 0 674953 35319
p 2 1360 6800 0 807613 29689
p 2 2384 5776 0 684643 32607
p 2 1797 6362 1 623449 30902
p 2 1673 6486 1 578279 29928
p 2 1089 7071 0 690082 28450
p 2 1641 6519 0 557118 29201
p 2 1442 6718 0 491072 28907
p 2 1076 7082 2 436796 26933
p 2 889 7270 1 397047 26631
p 2 806 7354 0 375202 25861
p 2 628 7525 7 343656 25402
p 2 567 7589 4 319278 24386
p 2 479 7680 1 287682 24421
p 2 446 7710 4 262978 23631
p 2 324 7818 18 233238 22976
p 2 334 7801 25 206419 22374
p 2 196 7956 8 185707 21877
p 2 314 7824 22 174234 21711
p 2 215 7912 33 156506 20801
p 2 177 7959 24 144569 20779
p 2 84 8043 33 138572 19875
p 2 79 8038 43 113505 18528
p 2 50 8037 73 105771 17956
p 2 24 8080 56 97891 17166
p 2 13 8033 114 91868 16548
p 2 13 8081 66 90351 16307
p 2 66 7971 123 89455 16408
p 2 74 8016 70 90681 16948
p 2 21 8136 3 126864 17448
p 2 6 8118 36 70419 16127
p 2 34 8059 67 68228 15809
p 2 26 8090 44 70241 15982
p 2 80 8045 35 78363 15842
p 2 1 8086 73 51077 15719
p 2 3 7976 181 44435 14867
p 2 27 8122 11 55786 15170
p 2 12 7807 341 42019 14029
p 2 83 8066 11 56072 15776
p 2 5 7739 416 39121 13793
p 2 72 8068 20 53891 15825
p 2 3 7576 581 36620 13794
p 2 0 7925 235 34888 14008
p 2 0 7240 920 28024 10728
p 2 0 7262 898 23923 9554
p 2 0 6942 1218 21268 8516
p 2 0 7016 1144 21635 8508
p 2 1 6836 1323 27464 8509
i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 29891 23251
i 2 8160 0 0 39192 23809
p 2 3138 4704 318 57203 23113
p 2 1639 6261 260 61194 22402
p 2 2754 5333 73 62257 24257
p 2 1711 6369 80 69591 22943
p 2 513 7530 117 70045 21176
p 2 730 7331 99 63239 20719
p 2 1078 7049 33 68396 21605
p 2 1015 7089 56 62075 21828
p 2 2684 5431 45 55875 24115
p 2 3097 5048 15 54937 25016
p 2 3358 4783 19 62221 26167
p 2 1199 6808 153 69486 23156
p 2 376 7686 98 66394 21868
p 2 807 7295 58 62134 21589
p 2 756 7346 58 63700 21738
p 2 2973 5125 62 58635 24534
p 2 3555 4535 70 54909 25364
p 2 3338 4771 51 63656 25876
p 2 1285 6764 111 70219 23079
p 2 369 7676 115 66651 21491
p 2 607 7496 57 65164 21655
p 2 661 7433 66 66155 21903
p 2 2822 5330 8 63960 24746
i 2 8160 0 0 42964 24653
i 2 8160 0 0 47509 24908
p 2 3259 4769 132 64090 24061
p 2 513 7636 11 86704 21507
p 2 629 7499 32 66564 21208
p 2 695 7410 55 68275 21262
p 2 2760 5322 78 64830 24392
p 2 3896 4205 59 61964 26103
p 2 3073 5028 59 71563 25990
p 2 1358 6711 91 74993 23314
p 2 363 7729 68 66437 20937
p 2 348 7761 51 64803 20907
p 2 436 7676 48 65528 20773
p 2 2684 5420 56 65503 24381
p 2 3799 4304 57 63373 25920
p 2 2850 5251 59 75291 25882
p 2 1101 6985 74 79010 23212
p 2 275 7821 64 68518 20949
p 2 256 7862 42 68537 20688
p 2 549 7557 54 65513 20702
p 2 2305 5775 80 66929 23863
p 2 3618 4522 20 65637 26002
p 2 2679 5412 69 72376 25112
p 2 964 7183 13 80735 22989
p 2 264 7855 41 64801 20200
p 2 250 7815 95 60244 20083
p 2 510 7551 99 62624 20196
p 2 2020 6059 81 68657 23327
p 2 3478 4619 63 68425 25757
p 2 2364 5735 61 72460 24697
p 2 804 7281 75 78330 22655
p 2 346 7675 139 66204 20267
p 2 163 7898 99 67740 19896
p 2 433 7629 98 66430 20019
p 2 1885 6269 6 93664 23152
p 2 3101 5009 50 69866 24929
p 2 2179 5922 59 78527 24665
p 2 866 7275 19 116941 22540
p 2 302 7774 84 67847 19944
p 2 173 7812 175 59758 18910
p 2 347 7751 62 63340 19201
p 2 1814 6233 113 63171 22135
p 2 3199 4881 80 64110 24772
p 2 2649 5433 78 70041 24966
p 2 933 7133 94 73665 21956
p 2 243 7775 142 61626 19483
p 2 135 7819 206 58172 18854
p 2 373 7773 14 78970 19977
p 2 1804 6341 15 104271 22780
p 2 3236 4870 54 64727 24868
p 2 2170 5909 81 73823 24406
p 2 824 7143 193 72284 21420
p 2 255 7798 107 63231 19430
p 2 136 7655 369 53737 18031
p 2 360 7640 160 58542 18918
p 2 1858 6158 144 63477 22186
p 2 3170 4896 94 63337 24747
p 2 2149 5909 102 72834 24186
p 2 854 7198 108 74317 21997
p 2 249 7652 259 59499 19170
p 2 169 7642 349 53673 18280
p 2 368 7410 382 54353 18526
p 2 1811 6319 30 65928 22356
p 2 3052 5029 79 64743 24554
p 2 2154 5920 86 71605 24368
p 2 840 7184 136 72552 21677
p 2 284 7749 127 62612 19392
p 2 150 7854 156 60916 19017
p 2 364 7655 141 59830 19027
p 2 1856 6177 127 62651 22105
p 2 3053 5002 105 62963 24342
p 2 2249 5813 98 70730 24346
p 2 845 7198 117 73084 22023
p 2 228 7813 119 63369 19552
p 2 144 7908 108 57003 18760
p 2 351 7595 214 57522 18692
p 2 1842 6178 140 61574 21910
p 2 3145 4950 65 65788 24824
p 2 2100 5983 77 73251 24225
p 2 990 7048 122 71847 22037
p 2 267 7774 119 58848 19307
p 2 157 7724 279 54241 18508
p 2 361 7635 164 56703 18939
p 2 1903 6103 154 62379 22113
p 2 3151 4901 108 63987 24667
p 2 1992 6052 116 70769 23958
p 2 871 7113 176 70128 21505
p 2 245 7725 190 59838 19089
p 2 158 7924 78 59872 19060
p 2 406 7654 100 60358 19221
p 2 1905 6156 99 61620 22010
p 2 3507 4563 90 63646 25020
p 2 2893 5151 116 69314 24503
p 2 871 7199 90 75427 22029
p 2 261 7768 131 61089 19442
p 2 144 8002 14 81601 19827
p 2 349 7802 9 100313 19813
p 2 1955 6132 73 68486 22552
p 2 3546 4517 97 64682 25055
p 2 2816 5280 64 76389 24714
p 2 857 7132 171 73059 21664
p 2 253 7717 190 60233 19173
p 2 123 7959 78 62689 19097
p 2 322 7619 219 60328 18734
p 2 1819 6193 148 64040 22196
p 2 3275 4825 60 67428 25140
p 2 2277 5801 82 75379 24626
p 2 917 7042 201 72244 21739
p 2 313 7723 124 64084 19901
p 2 187 7847 126 60576 19205
p 2 335 7639 186 60502 19474
p 2 2008 5981 171 60827 22273
p 2 3292 4764 104 61564 24728
p 2 2652 5434 74 72987 25245
p 2 1199 6894 67 81532 23398
p 2 361 7743 56 82513 22087
p 2 425 7705 30 74108 21629
p 2 1233 6896 31 81784 22636
i 2 8160 0 0 60648 24767
i 2 8160 0 0 46359 24398
i 2 8160 0 0 73688 24226
p 2 3455 4613 92 91517 24499
p 2 688 7397 75 88992 21802
p 2 884 7237 39 91467 21316
p 2 1121 7008 31 86029 22050
p 2 3187 4916 57 75677 24817
p 2 4228 3877 55 60724 26117
p 2 3681 4413 66 89343 25890
p 2 1436 6664 60 97213 23677
p 2 500 7635 25 92799 22279
p 2 658 7476 26 92574 21885
p 2 883 7252 25 79658 22157
p 2 2937 5160 63 75126 24751
p 2 3672 4431 57 60022 25373
p 2 3747 4356 57 86043 26013
p 2 1299 6794 67 95684 23734
p 2 511 7599 50 91379 22311
p 2 687 7439 34 91181 21953
p 2 966 7140 54 89667 22192
i 2 8160 0 0 119241 25964
i 2 8160 0 0 215379 29747
p 2 1787 6361 12 296995 20101
p 2 0 7749 411 88744 13031
p 2 0 7520 640 110837 12116
p 2 0 8131 29 240047 14314
p 2 0 7861 299 82357 12849
p 2 0 7429 731 112714 11775
p 2 0 7246 914 65836 11337
p 2 0 7013 1147 96202 10973
p 2 0 6934 1226 62219 10790
p 2 0 6725 1435 90422 10439
p 2 0 6778 1382 68887 10355
p 2 0 6602 1558 86828 10266
p 2 0 6672 1488 61577 10368
p 2 0 6596 1564 92320 10400
p 2 0 6614 1546 62142 10336
p 2 0 6592 1568 88695 10283
p 2 0 6534 1626 67112 10236
p 2 0 6443 1717 88124 10207
p 2 0 6329 1831 63350 9962
p 2 0 6234 1926 79672 9789
p 2 0 6130 2030 60550 9701
p 2 0 6038 2122 73521 9622
p 2 0 6121 2039 60843 9586
p 2 0 6176 1984 84796 9825
p 2 0 6550 1610 69805 10429
p 2 0 6443 1717 95227 10288
p 2 0 6812 1348 77271 10817
p 2 0 6713 1447 105583 10659
p 2 0 6745 1415 88121 10711
p 2 0 6641 1519 106879 10669
p 2 0 6731 1429 83486 10730
p 2 0 6610 1550 103759 10542
p 2 0 6699 1461 87564 10566
p 2 0 6665 1495 107336 10587
p 2 0 6399 1761 75249 10212
p 2 0 6288 1872 87765 10067
p 2 0 6336 1824 71752 9936
p 2 0 6213 1947 87576 9971
p 2 0 6477 1683 74441 10175
p 2 0 6568 1592 103210 10454
p 2 0 6552 1608 88128 10440
p 2 0 6655 1505 109392 10693
p 2 0 6563 1597 84820 10445
p 2 0 6590 1570 103456 10578
p 2 13 6388 1759 78311 10453
p 2 80 6304 1776 95550 10797
p 2 93 6400 1667 82533 11066
p 2 30 6473 1657 116841 10927
p 2 3 6390 1767 81284 10396
p 2 0 6367 1793 96548 10358
p 2 0 5858 2302 90464 9845
p 2 1 8141 18 277784 14473
p 2 0 7877 283 82178 13274
p 2 1 7513 646 93733 12138
p 2 0 7380 780 58032 11205
p 2 0 7100 1060 78874 10855
p 2 0 6931 1229 57171 10516
p 2 0 6691 1469 74480 10355
p 2 0 6665 1495 55037 10212
p 2 0 6473 1687 74314 10048
p 2 0 6643 1517 55266 10264
p 2 0 6516 1644 78579 10138
p 2 1 6850 1309 66004 10559
p 2 0 6838 1322 97888 10653
p 2 1 6831 1328 64602 10703
p 2 0 6760 1400 99863 10684
p 2 0 6803 1357 75359 10757
p 2 0 6641 1519 94182 10567
