# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
i 2 8160 0 0 56952 22957
i 2 8160 0 0 96117 23063
p 2 3001 4980 179 81664 22895
p 2 1654 6407 99 66374 22204
p 2 2540 5502 118 80753 23686
p 2 1665 6390 105 81582 22779
p 2 537 7519 104 83396 21475
p 2 761 7268 131 65547 20747
p 2 1109 6976 75 67531 21421
p 2 1338 6732 90 61293 21951
p 2 2131 5900 129 78535 22959
p 2 2945 5008 207 63481 23505
p 2 3526 4551 83 98818 25145
p 2 1575 6317 268 92528 23107
p 2 445 7460 255 71317 21380
p 2 673 7313 174 70809 20871
p 2 686 7237 237 63868 20979
p 2 2011 5845 304 76558 22662
p 2 2544 5293 323 68313 22936
p 2 3025 4783 352 91437 23938
p 2 1451 6408 301 91352 22768
p 2 380 7545 235 69192 21087
p 2 543 7436 181 71752 20553
p 2 701 7232 227 64591 20337
p 2 2345 5495 320 77435 22900
p 2 3348 4423 389 66594 23811
p 2 3119 4638 403 85963 23899
p 2 1489 6378 293 90727 22669
p 2 332 7581 247 75289 20838
p 2 481 7488 191 73979 20673
p 2 535 7367 258 70314 20119
p 2 1974 5879 307 78725 22663
p 2 2765 4985 410 73576 23500
p 2 2719 5106 335 90672 23755
p 2 1356 6493 311 92079 22538
p 2 287 7626 247 68273 20016
p 2 396 7546 218 70688 19734
p 2 478 7443 239 66307 19657
p 2 2327 5510 323 78875 22917
p 2 2904 4696 560 70101 22841
p 2 2296 5461 403 89273 23177
p 2 1191 6674 295 98760 22131
p 2 286 7595 279 77218 20253
p 2 244 7709 207 75988 19661
p 2 496 7350 314 71414 19442
p 2 2002 5860 298 78077 22372
p 2 2592 4925 643 73505 22297
p 2 2148 5544 468 84319 22845
p 2 1167 6664 329 98343 21923
p 2 245 7604 311 68821 19297
p 2 189 7621 350 70506 18297
p 2 455 7298 407 66353 18614
p 2 1782 5996 382 80233 21565
p 2 2544 4915 701 71183 21743
p 2 2018 5604 538 89105 22419
p 2 933 6815 412 86070 21501
p 2 338 7412 410 83788 19213
p 2 140 7601 419 75716 18182
p 2 444 7144 572 70009 18225
p 2 1309 6415 436 87110 20731
p 2 2267 5308 585 76283 21887
p 2 1873 5739 548 97268 22067
p 2 958 6696 506 84336 20957
p 2 258 7447 455 84491 18418
p 2 126 7542 492 67697 17465
p 2 280 7356 524 71652 17651
p 2 1534 6161 465 84358 20421
p 2 2287 5291 582 71890 21579
p 2 2103 5534 523 92185 22358
p 2 972 6686 502 82577 20808
p 2 210 7448 502 79177 18147
p 2 116 7563 481 63028 17190
p 2 329 7246 585 68392 17352
p 2 1547 6156 457 81581 20369
p 2 2238 5289 633 72358 21444
p 2 1884 5724 552 92294 21861
p 2 984 6689 487 76480 20617
p 2 241 7442 477 77011 18036
p 2 80 7538 542 61018 17089
p 2 362 7245 553 68632 17623
p 2 1531 6163 466 82300 20261
p 2 2166 5375 619 71316 21395
p 2 1830 5836 494 93418 22085
p 2 961 6743 456 78355 20542
p 2 229 7411 520 73991 17974
p 2 154 7549 457 61180 17225
p 2 343 7275 542 64931 17188
p 2 1512 6243 405 83744 20384
p 2 2450 5088 622 72343 21780
p 2 2130 5479 551 90138 22142
p 2 977 6691 492 78563 20478
p 2 256 7449 455 74845 18307
p 2 110 7548 502 66176 17309
p 2 329 7316 515 80285 17396
p 2 1499 6231 430 115370 20708
p 2 2276 5282 602 68631 21655
p 2 2057 5574 529 94761 22307
p 2 927 6731 502 76895 20602
p 2 238 7410 512 75558 18174
p 2 99 7594 467 57635 17021
p 2 322 7300 538 63056 17306
p 2 1497 6202 461 82923 20220
p 2 2237 5291 632 70655 21542
p 2 1853 5759 548 91114 22154
p 2 836 6825 499 73342 20410
p 2 259 7395 506 71299 17938
p 2 109 7513 538 57097 17107
p 2 316 7294 550 63534 17407
p 2 1558 6114 488 81513 20168
p 2 2210 5341 609 71970 21673
p 2 1842 5798 520 89780 21825
p 2 987 6674 499 78358 20647
p 2 244 7397 519 75649 17847
p 2 128 7560 472 66576 17539
p 2 294 7310 556 70183 17594
p 2 1488 6266 406 81715 20321
p 2 2330 5217 613 72644 21703
p 2 1871 5740 549 91066 21894
p 2 847 6807 506 78320 20278
p 2 224 7428 508 75785 18068
p 2 89 7519 552 66921 17305
p 2 311 7282 567 66331 17432
p 2 1511 6213 436 82399 20343
p 2 2267 5282 611 71419 21514
p 2 1841 5767 552 92478 21856
p 2 873 6771 516 76974 20362
p 2 223 7432 505 73289 17749
p 2 128 7603 429 66267 17420
p 2 308 7281 571 68650 17523
p 2 1529 6212 419 80525 20225
p 2 2386 5182 592 73705 21700
p 2 2180 5456 524 87239 22197
p 2 952 6700 508 77953 20561
p 2 293 7431 436 74854 18294
p 2 157 7403 600 64395 17178
p 2 250 7299 611 65962 17478
p 2 1573 6099 488 67968 20121
p 2 2216 5302 642 62626 20897
p 2 2607 5122 431 77553 22936
p 2 1536 6303 321 95583 22172
p 2 458 7433 269 76107 20811
p 2 398 7564 198 77975 20210
p 2 1007 6901 252 77908 21221
p 2 2550 5314 296 82881 23193
i 2 8160 0 0 56972 23976
i 2 8160 0 0 92509 23586
p 2 3397 4421 342 86587 23476
p 2 710 7185 265 68599 20921
p 2 828 7111 221 64289 20034
p 2 1042 6873 245 63770 20745
p 2 2370 5467 323 81775 22517
p 2 3402 4429 329 67188 24254
p 2 3646 4182 332 104081 24093
p 2 1594 6284 282 96026 23066
p 2 493 7391 276 79490 21328
p 2 602 7359 199 71780 20758
p 2 882 7041 237 70388 20702
p 2 2403 5465 292 78923 22704
p 2 2805 4985 370 68358 23469
p 2 3552 4301 307 101956 23677
p 2 1536 6311 313 101691 22954
p 2 576 7335 249 87879 21546
p 2 724 7233 203 70783 20935
p 2 907 7012 241 69176 20519
i 2 8160 0 0 110252 25652
i 2 8160 0 0 179043 28033
p 2 2199 5918 43 119486 20585
p 2 637 7491 32 99816 17565
p 2 429 7703 28 127953 16960
p 2 403 7729 28 89146 16507
p 2 264 7875 21 92850 15739
p 2 276 7856 28 76821 15295
p 2 207 7943 10 85935 16021
p 2 208 7931 21 107356 15843
p 2 180 7965 15 86289 15508
p 2 286 7842 32 92631 15834
p 2 115 8022 23 84840 15154
p 2 104 8049 7 93721 15891
p 2 63 8057 40 129446 15478
p 2 91 8036 33 87727 15323
p 2 91 8056 13 93052 15595
p 2 113 7979 68 97410 15146
p 2 84 7985 91 83107 14631
p 2 96 8015 49 88676 15449
p 2 110 7949 101 116303 15165
p 2 95 8010 55 85630 15324
p 2 121 7915 124 99687 15178
p 2 175 7926 59 83251 15131
p 2 97 8009 54 91360 15512
p 2 116 7993 51 115240 15304
p 2 124 7970 66 84210 15136
p 2 98 7912 150 95610 15021
p 2 111 7955 94 81408 14834
p 2 61 8002 97 88088 15250
p 2 152 7927 81 115742 15503
p 2 91 7996 73 85986 15255
p 2 144 7854 162 96790 15280
p 2 80 7954 126 81240 14920
p 2 134 7927 99 90904 15587
p 2 94 7995 71 114014 15560
i 2 8160 0 0 382092 25303
p 2 0 7647 513 77206 12735
p 2 0 7407 753 51336 10583
p 2 0 7036 1124 46493 9653
p 2 0 6898 1262 64310 9114
p 2 0 6665 1495 40367 8841
p 2 0 6763 1397 38031 8931
p 2 0 6988 1172 52106 9528
p 2 0 6828 1332 48256 9411
p 2 0 6683 1477 109354 9500
p 2 0 6653 1507 58427 9521
p 2 0 6609 1551 48067 9030
p 2 0 6099 2061 46556 8410
p 2 0 5655 2505 66210 7870
p 2 0 5511 2649 42667 7647
p 2 0 5674 2486 43460 7855
p 2 0 6182 1978 46370 8536
p 2 0 6393 1767 51288 8737
p 2 0 6111 2049 97760 8770
p 2 0 6089 2071 51417 8702
p 2 0 6281 1879 49944 8809
p 2 1 6583 1576 72820 9084
p 2 0 5935 2225 47401 8376
p 2 0 6483 1677 55096 9211
p 2 0 6518 1642 102952 9441
p 2 14 6083 2063 63794 9210
p 2 70 6352 1738 56527 9723
p 2 28 6721 1411 78940 9778
p 2 14 5733 2413 51024 8688
p 2 18 6511 1631 58057 9712
p 2 18 6310 1832 101479 9506
i 2 8160 0 0 160651 24800
p 2 977 6512 671 81591 17017
p 2 537 6700 923 83521 16172
p 2 558 6626 976 71478 15894
p 2 375 6898 887 77129 16242
p 2 416 6789 955 115662 16284
p 2 409 6827 924 80797 16114
p 2 471 7005 684 80741 16653
p 2 288 6924 948 83317 15870
p 2 412 6929 819 74327 16019
p 2 290 7164 706 79742 16362
p 2 235 7004 921 112669 16197
p 2 236 7121 803 78252 15977
p 2 279 7207 674 78763 16362
p 2 217 7066 877 86451 15937
p 2 354 7021 785 76011 16213
p 2 240 7281 639 81828 16570
p 2 333 7036 791 125638 16505
p 2 245 7035 880 81447 16219
p 2 310 7308 542 82756 16835
p 2 215 7202 743 85591 16362
p 2 255 7260 645 79028 16498
p 2 255 7335 570 82554 16865
p 2 246 7205 709 126467 16941
p 2 188 7326 646 80906 17035
p 2 290 7300 570 83170 17257
p 2 209 7278 673 83169 16627
p 2 247 7222 691 74800 16732
p 2 215 7412 533 79334 16537
p 2 285 7169 706 122248 16707
p 2 234 7217 709 80162 16501
p 2 289 7340 531 81367 16823
p 2 219 7226 715 84473 16166
p 2 303 7119 738 75053 16082
p 2 208 7405 547 79918 16496
p 2 288 7085 787 114641 16359
i 2 8160 0 0 561007 29991
p 2 0 6801 1359 145948 11983
p 2 558 6188 1414 139666 12754
p 2 16 6719 1425 141952 10402
p 2 213 6796 1151 144723 11987
p 2 160 6987 1013 148891 11962
p 2 119 7003 1038 176390 12583
p 2 0 6946 1214 189608 10835
p 2 7 6914 1239 147599 11303
p 2 15 6647 1498 122060 10487
p 2 19 6545 1596 149582 10321
p 2 16 6647 1497 113796 9984
p 2 9 6685 1466 142184 10569
p 2 0 6776 1384 175240 10308
p 2 2 6636 1522 142283 10671
p 2 0 6577 1583 119627 10181
p 2 16 6435 1709 153391 10087
p 2 0 6531 1629 113923 9876
p 2 6 6543 1611 143462 10459
p 2 0 6676 1484 177361 10162
p 2 4 6575 1581 124750 10859
p 2 0 6494 1666 95457 10103
p 2 0 6232 1928 102905 9944
p 2 0 6090 2070 112696 9168
p 2 2 6267 1891 98299 9797
p 2 0 6332 1828 86772 9634
p 2 1 6443 1716 104908 10195
p 2 5 6198 1957 96429 9718
p 2 3 6676 1481 199493 10703
p 2 0 6534 1626 118232 10149
p 2 6 6443 1711 158699 10339
p 2 0 6379 1781 109880 9605
p 2 5 6516 1639 150632 10505
p 2 0 6562 1598 161824 10095
p 2 3 6446 1711 142966 10496
p 2 0 6341 1819 128315 9782
p 2 4 6350 1806 139405 10067
p 2 0 6460 1700 123704 9951
p 2 0 6483 1677 184273 10208
p 2 0 6185 1975 106203 9768
p 2 2 6212 1946 126111 9929
p 2 0 6070 2090 117463 9218
p 2 2 6116 2042 124808 9657
p 2 2 6318 1840 119679 9866
p 2 2 6321 1837 167295 10023
p 2 0 5992 2168 101032 9525
p 2 2 6044 2114 114938 9783
p 2 0 5834 2326 111099 8991
p 2 12 5726 2422 119004 9658
p 2 68 6093 1999 121453 10281
p 2 246 5836 2078 128661 10898
p 2 36 5815 2309 130596 9641
p 2 95 5709 2356 139396 10183
p 2 0 5693 2467 118028 9092
i 2 8160 0 0 382996 29519
p 2 30 6459 1671 79999 11447
p 2 20 6045 2095 61729 9934
p 2 0 6008 2152 63926 9097
p 2 78 6049 2033 54546 9549
p 2 72 6214 1874 56856 10054
