# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 57028 22961
i 2 8160 0 0 95654 23043
p 2 2964 5050 146 86345 22869
p 2 1641 6437 82 70149 22119
p 2 2651 5391 118 82464 23795
p 2 1677 6386 97 88700 22877
p 2 420 7638 102 86280 21500
p 2 779 7272 109 65858 20815
p 2 1130 6972 58 74233 21358
p 2 1405 6648 107 61897 21806
p 2 2000 6022 138 80079 22863
p 2 2948 4970 242 63883 23533
p 2 3375 4625 160 99241 24577
p 2 1561 6336 263 93486 23178
p 2 475 7441 244 70635 21388
p 2 601 7377 182 73684 21073
p 2 834 7102 224 64760 20775
p 2 2337 5534 289 77869 22779
p 2 3175 4629 356 66890 23826
p 2 3043 4753 364 91944 23756
p 2 1506 6382 272 92121 22884
p 2 383 7576 201 68349 21076
p 2 478 7506 176 72315 20699
p 2 605 7334 221 67588 20339
p 2 2471 5366 323 77250 22969
p 2 2617 5182 361 67085 23164
p 2 2780 4970 410 91403 23489
p 2 1520 6370 270 89941 22870
p 2 416 7506 238 71693 20923
p 2 479 7476 205 71791 20411
p 2 519 7389 252 67864 20141
p 2 1852 6005 303 79367 22460
p 2 2629 5123 408 74217 23016
p 2 2608 5197 355 87018 23539
p 2 1342 6520 298 97656 22585
p 2 334 7563 263 72095 20295
p 2 389 7541 230 74255 19760
p 2 437 7467 256 70715 19508
p 2 2338 5494 328 79854 22995
p 2 2814 4793 553 74591 22758
p 2 2400 5378 382 88958 23391
p 2 1268 6591 301 97685 22310
p 2 305 7567 288 76129 19973
p 2 248 7661 251 75331 19465
p 2 517 7346 297 73729 19483
p 2 2033 5795 332 78619 22276
p 2 2700 4808 652 72941 22220
p 2 2459 5251 450 85761 23214
p 2 1111 6704 345 98470 21763
p 2 240 7624 296 69811 19157
p 2 238 7594 328 70858 18699
p 2 444 7277 439 66111 18468
p 2 1788 5989 383 82401 21915
p 2 2510 4952 698 72495 22003
p 2 2197 5410 553 87929 22496
p 2 1088 6620 452 87265 21329
p 2 297 7391 472 69945 18747
p 2 103 7599 458 82745 17902
p 2 470 7071 619 73367 18420
p 2 1524 6226 410 86453 20971
p 2 2203 5356 601 76171 21746
p 2 1797 5839 524 96061 21973
p 2 1010 6645 505 82432 20884
p 2 279 7409 472 81564 18489
p 2 96 7582 482 67392 17106
p 2 407 7250 503 71406 17695
p 2 1530 6174 456 84627 20264
p 2 2163 5386 611 72807 21461
p 2 1988 5647 525 90908 22036
p 2 960 6670 530 82684 20634
p 2 244 7406 510 78552 18136
p 2 122 7532 506 62915 17366
p 2 393 7172 595 67452 17602
p 2 1462 6252 446 82543 20161
p 2 2397 5144 619 71893 21657
p 2 1858 5698 604 91274 21805
p 2 976 6712 472 75909 20447
p 2 243 7451 466 75756 18047
p 2 81 7570 509 60197 16697
p 2 407 7196 557 68720 17499
p 2 1529 6189 442 82518 20277
p 2 2688 4867 605 69367 21856
p 2 2396 5181 583 89578 21936
p 2 883 6751 526 78872 20560
p 2 233 7388 539 73999 17934
p 2 107 7561 492 60923 17254
p 2 306 7241 613 66596 17342
p 2 1482 6235 443 84844 20320
p 2 2318 5224 618 72720 21381
p 2 1975 5607 578 89548 21878
p 2 1006 6679 475 83370 20613
p 2 225 7454 481 66462 18101
p 2 104 7577 479 80330 17077
p 2 349 7314 497 113802 17832
p 2 1542 6159 459 74267 20444
p 2 2158 5412 590 88400 21633
p 2 1943 5712 505 80603 22104
p 2 896 6774 490 96800 20695
p 2 241 7476 443 69072 18299
p 2 97 7585 478 67361 17344
p 2 298 7282 580 61262 17205
p 2 1520 6214 426 82745 20136
p 2 2247 5303 610 72549 21493
p 2 1910 5688 562 93672 22104
p 2 898 6768 494 75247 20603
p 2 211 7466 483 73593 17911
p 2 123 7517 520 59174 17173
p 2 358 7294 508 64620 17490
p 2 1549 6151 460 80816 20333
p 2 2284 5244 632 72031 21808
p 2 1973 5658 529 89323 21729
p 2 965 6705 490 78177 20552
p 2 220 7451 489 76590 18027
p 2 103 7608 449 66628 17131
p 2 367 7275 518 71690 17716
p 2 1478 6267 415 81607 20230
p 2 2390 5157 613 71865 21649
p 2 1828 5752 580 91837 21635
p 2 1018 6657 485 78364 20549
p 2 212 7487 461 76577 18170
p 2 114 7547 499 66625 17104
p 2 379 7244 537 67197 17322
p 2 1462 6237 461 82218 20203
p 2 2296 5268 596 71225 21679
p 2 1912 5712 536 91972 22070
p 2 976 6679 505 75765 20247
p 2 217 7433 510 74181 17886
p 2 154 7531 475 65775 17081
p 2 408 7188 564 67114 17375
p 2 1466 6256 438 78694 20203
p 2 2348 5179 633 74100 21549
p 2 1834 5760 566 89917 21984
p 2 901 6805 454 78364 20634
p 2 253 7465 442 77209 18445
p 2 145 7509 506 64780 17522
p 2 257 7357 546 65637 17550
p 2 1496 6207 457 68270 20167
p 2 2197 5337 626 62837 21033
p 2 2532 5235 393 76637 23032
p 2 1376 6467 317 95348 22209
p 2 464 7434 262 76338 20963
p 2 361 7599 200 78262 20235
p 2 957 6939 264 79118 21009
p 2 2552 5309 299 82277 22914
i 2 8160 0 0 56145 23957
i 2 8160 0 0 92108 23583
p 2 3394 4422 344 86981 23482
p 2 687 7205 268 80142 20924
p 2 800 7141 219 70180 20439
p 2 1069 6844 247 67361 20929
p 2 2845 4988 327 82196 23354
p 2 3493 4285 382 67411 24166
p 2 3487 4353 320 102869 23728
p 2 1529 6325 306 91996 22933
p 2 472 7431 257 80276 21431
p 2 623 7317 220 78707 20941
p 2 726 7198 236 68319 20891
p 2 1872 5966 322 81509 22213
p 2 2575 5247 338 68735 23084
p 2 3480 4350 330 103475 23638
p 2 1504 6356 300 84290 23050
p 2 494 7435 231 69671 21179
p 2 702 7228 230 64163 20659
p 2 935 6992 233 62723 20556
i 2 8160 0 0 131255 24290
i 2 8160 0 0 397079 24929
i 2 8160 0 0 157072 24526
p 2 0 7673 487 68996 11762
p 2 0 7382 778 81174 10682
p 2 0 7349 811 43640 10150
p 2 0 7783 377 54935 11032
p 2 0 7555 605 128478 10892
p 2 0 7630 530 61856 11418
p 2 0 7661 499 48076 10850
p 2 0 7168 992 39519 9945
p 2 0 6791 1369 48223 9242
p 2 0 6665 1495 38251 9069
p 2 0 7333 827 39373 9854
p 2 129 7547 484 53624 11470
p 2 114 7623 423 58661 11591
p 2 118 7550 492 119170 12007
p 2 122 7459 579 77084 12113
p 2 131 7377 652 82633 12076
p 2 159 7421 580 74943 11995
p 2 164 7295 701 98634 11619
p 2 167 7052 941 69608 11366
p 2 184 7219 757 70902 11678
p 2 177 7630 353 72956 12282
p 2 190 7488 482 91988 12467
p 2 167 7446 547 136685 12556
p 2 145 7291 724 102428 12322
p 2 130 7786 244 103744 12959
p 2 121 7475 564 116289 12247
p 2 119 7712 329 106804 12444
p 2 172 7777 211 132231 14321
p 2 439 7424 297 203814 15535
p 2 951 6901 308 178973 17259
p 2 1270 6700 190 196054 17919
p 2 969 6772 419 177722 17023
p 2 504 7479 177 248362 17303
p 2 169 7935 56 174609 15048
p 2 383 7765 12 216766 16501
p 2 42 8101 17 158881 14337
p 2 310 7841 9 303289 16944
p 2 36 8116 8 166190 15230
p 2 426 7731 3 222600 17182
p 2 34 8124 2 142844 14291
p 2 503 7655 2 344773 18291
p 2 56 8104 0 198738 15820
p 2 584 7575 1 253040 18472
p 2 446 7714 0 273015 16978
p 2 1478 6682 0 247907 20448
p 2 1141 7016 3 185893 18734
p 2 1228 6931 1 348931 20707
p 2 153 8006 1 151346 17861
p 2 444 7715 1 199769 17475
p 2 6 8149 5 105852 14355
p 2 466 7692 2 180691 17410
p 2 88 8055 17 298830 16714
p 2 77 8068 15 156808 17019
p 2 63 8080 17 160076 15348
p 2 56 8092 12 140280 15230
p 2 75 8076 9 275108 16269
p 2 89 8052 19 156612 16651
p 2 38 8110 12 179017 15459
p 2 28 8125 7 147870 15229
p 2 81 8069 10 156477 16026
p 2 68 8068 24 292432 16379
p 2 46 8098 16 161510 16830
p 2 34 8121 5 143619 15508
p 2 27 8120 13 163635 15180
p 2 31 8118 11 132692 14991
p 2 35 8118 7 147982 15458
p 2 42 8077 41 259423 16069
p 2 130 8017 13 164453 17064
p 2 120 8020 20 169676 15878
p 2 28 8127 5 136973 15265
p 2 27 8113 20 243961 15830
p 2 37 8110 13 169860 16236
p 2 17 8116 27 157077 15682
p 2 26 8116 18 187960 15254
p 2 28 8110 22 152441 15593
p 2 333 7823 4 176113 16768
p 2 177 7949 34 237649 16559
p 2 61 8080 19 135903 16282
p 2 51 8088 21 163948 15405
p 2 20 8123 17 111595 14706
p 2 23 8118 19 118708 14799
p 2 52 8099 9 239819 15474
p 2 21 8127 12 162339 15955
p 2 50 8081 29 187294 15634
p 2 53 8081 26 154025 15615
p 2 67 8076 17 232141 16008
p 2 36 8050 74 151587 15977
p 2 49 8037 74 193154 15541
p 2 15 8043 102 146797 15284
p 2 4 8073 83 266866 15589
p 2 10 8032 118 143565 15701
p 2 6 8062 92 130838 14932
p 2 4 8013 143 171562 14133
p 2 3 7995 162 119512 14172
p 2 9 8020 131 133521 14266
p 2 6 7993 161 239846 14528
p 2 3 8049 108 130543 14959
p 2 8 8024 128 154726 14153
p 2 4 7998 158 115753 13633
p 2 11 8021 128 135216 14032
p 2 11 7976 173 234710 14462
p 2 16 8062 82 162888 14717
p 2 19 8026 115 177846 14182
p 2 1 8029 130 131698 13437
p 2 14 8017 129 236060 14622
p 2 0 8001 159 123803 13614
p 2 8 7987 165 167618 13915
p 2 0 7971 189 113811 12897
p 2 11 7964 185 149949 13611
p 2 1 7897 262 197097 12882
p 2 16 7790 354 132916 13350
p 2 0 7470 690 121623 11983
p 2 326 7198 636 148882 13783
p 2 1 7547 612 203843 12251
p 2 340 7223 597 177814 14224
p 2 2 7242 916 159523 12075
p 2 290 7117 753 185981 13880
p 2 2 7427 731 242155 12333
p 2 64 8064 32 401795 14934
p 2 3 7887 270 122443 14059
p 2 9 7823 328 112737 12981
p 2 1 7475 684 118453 11632
p 2 7 7616 537 95020 11606
p 2 0 7564 596 64981 11169
p 2 0 7336 824 187501 11248
p 2 0 7223 937 79435 11666
p 2 1 7199 960 82046 10971
p 2 0 6760 1400 91841 10176
p 2 0 6830 1330 47586 9931
p 2 0 6924 1236 58346 10219
p 2 120 7098 942 181490 12553
p 2 62 7175 923 110596 12446
p 2 78 7209 873 141112 12210
p 2 70 6988 1102 113863 11930
p 2 78 7148 934 216243 12690
p 2 31 7057 1072 139529 12309
p 2 24 7088 1048 165432 12041
p 2 45 7045 1070 141408 12254
p 2 18 7330 812 155611 12702
p 2 39 7197 924 209523 11914
p 2 23 7070 1067 132206 11700
p 2 3 6959 1198 145105 11235
p 2 7 6930 1223 121443 11108
p 2 50 7014 1096 136502 11769
p 2 72 6959 1129 182893 11636
p 2 12 6711 1437 132177 11450
p 2 36 6839 1285 105255 11401
p 2 6 6637 1517 82261 10682
p 2 0 6444 1716 116776 10097
p 2 0 6168 1992 83276 9747
p 2 0 6315 1845 65378 9887
p 2 0 6611 1549 65512 10076
p 2 0 6533 1627 81704 10092
p 2 0 6363 1797 136907 9956
i 2 8160 0 0 202569 26775
p 2 0 5433 2727 29533 7964
p 2 529 5248 2383 72918 10008
p 2 0 4831 3329 26671 6558
p 2 525 5294 2341 68333 10232
p 2 0 5563 2597 78948 7626
p 2 286 5562 2312 95248 10163
p 2 0 6027 2133 42791 8191
