# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 57028 22961
i 2 8160 0 0 95654 23043
p 2 2974 5033 153 83990 22860
p 2 1623 6452 85 69615 22159
p 2 2632 5409 119 82474 23780
p 2 1636 6424 100 79802 23059
p 2 594 7462 104 83331 21405
p 2 725 7335 100 65173 20367
p 2 1328 6773 59 68259 21345
p 2 1494 6568 98 59450 21841
p 2 2469 5571 120 76637 22972
p 2 2774 5140 246 65719 23591
p 2 3329 4718 113 99017 24620
p 2 1521 6433 206 92812 23060
p 2 440 7509 211 71087 21600
p 2 621 7386 153 72662 21198
p 2 701 7241 218 65821 20944
p 2 2163 5705 292 77915 22826
p 2 2701 5144 315 66991 23383
p 2 3183 4628 349 90268 23850
p 2 1543 6348 269 90754 22865
p 2 388 7556 216 69654 21117
p 2 570 7422 168 71496 20673
p 2 700 7261 199 68144 20260
p 2 2448 5426 286 74153 22795
p 2 3301 4453 406 66667 23691
p 2 3174 4603 383 85819 23876
p 2 1424 6475 261 90743 22519
p 2 370 7553 237 76113 20869
p 2 442 7539 179 75507 20757
p 2 523 7418 219 71166 20207
p 2 1973 5898 289 78996 22678
p 2 2378 5392 390 73544 22701
p 2 2560 5301 299 90567 23936
p 2 1253 6647 260 98450 22434
p 2 314 7607 239 71085 20349
p 2 379 7587 194 73397 19788
p 2 422 7538 200 68519 19499
p 2 2044 5823 293 82071 22416
p 2 2759 4860 541 73904 22703
p 2 2397 5383 380 89884 23509
p 2 1206 6690 264 96684 22181
p 2 312 7610 238 75975 20253
p 2 258 7709 193 76665 19815
p 2 476 7402 282 71773 19418
p 2 2055 5805 300 78054 22340
p 2 2758 4782 620 73823 22610
p 2 2297 5387 476 85423 22759
p 2 940 6902 318 98698 21689
p 2 276 7597 287 69641 19430
p 2 224 7606 330 70565 18725
p 2 451 7302 407 67541 18654
p 2 1812 5968 380 80914 21879
p 2 2416 5061 683 72470 21730
p 2 2142 5504 514 87381 22269
p 2 1106 6607 447 87402 21346
p 2 304 7369 487 69936 18624
p 2 135 7600 425 84511 18170
p 2 435 7122 603 73412 18201
p 2 1491 6282 387 86926 20894
p 2 2369 5198 593 73731 21940
p 2 1809 5817 534 94735 21989
p 2 999 6712 449 81115 20846
p 2 295 7373 492 81745 18297
p 2 112 7512 536 66372 17364
p 2 318 7271 571 70694 17656
p 2 1553 6159 448 84109 20215
p 2 2214 5340 606 72293 21522
p 2 1875 5773 512 92519 22099
p 2 947 6739 474 83050 20831
p 2 221 7451 488 78816 18257
p 2 99 7634 427 62952 17127
p 2 375 7261 524 67624 17391
p 2 1475 6272 413 82326 20269
p 2 2365 5185 610 72080 21792
p 2 1724 5891 545 92173 21785
p 2 954 6714 492 76179 20539
p 2 210 7490 460 76828 17834
p 2 99 7586 475 61945 17203
p 2 328 7334 498 69148 17665
p 2 1564 6135 461 81887 20378
p 2 2311 5242 607 70253 21533
p 2 1869 5716 575 91729 21979
p 2 886 6788 486 78464 20455
p 2 220 7450 490 75178 17879
p 2 101 7554 505 61115 17027
p 2 352 7221 587 66999 17413
p 2 1485 6234 441 84694 20364
p 2 2377 5143 640 72559 21731
p 2 1924 5686 550 90691 22020
p 2 881 6765 514 84899 20640
p 2 253 7447 460 65769 18192
p 2 103 7571 486 79913 17213
p 2 267 7361 532 113432 17889
p 2 1584 6126 450 72372 20377
p 2 2213 5347 600 85708 21380
p 2 1825 5874 461 79796 22002
p 2 985 6704 471 97077 20643
p 2 225 7446 489 67983 18089
p 2 146 7525 489 65307 17296
p 2 347 7245 568 59726 17286
p 2 1488 6264 408 84336 20321
p 2 2337 5224 599 74112 21760
p 2 1811 5817 532 94396 22086
p 2 875 6800 485 77289 20567
p 2 234 7475 451 74000 17949
p 2 134 7495 531 62280 17180
p 2 338 7306 516 67023 17529
p 2 1544 6180 436 80828 20232
p 2 2263 5277 620 71247 21565
p 2 2026 5619 515 90103 22108
p 2 998 6654 508 77682 20640
p 2 206 7461 493 76548 17797
p 2 120 7592 448 66904 17589
p 2 314 7320 526 71800 17567
p 2 1594 6149 417 81166 20505
p 2 2312 5246 602 72076 21656
p 2 1841 5756 563 91401 21809
p 2 942 6728 490 77364 20524
p 2 216 7452 492 76214 18059
p 2 102 7510 548 66895 17392
p 2 318 7244 598 67648 17482
p 2 1480 6211 469 82842 20258
p 2 2250 5321 589 71500 21573
p 2 1935 5710 515 94476 22277
p 2 1008 6669 483 76299 20432
p 2 233 7427 500 74549 17949
p 2 103 7598 459 65650 16868
p 2 382 7204 574 68607 17330
p 2 1441 6288 431 79410 20300
p 2 2376 5188 596 73769 21735
p 2 1918 5677 565 91042 21755
p 2 838 6879 443 78430 20429
p 2 250 7427 483 78378 18378
p 2 160 7491 509 64492 17414
p 2 313 7311 536 65128 17307
p 2 1525 6159 476 67318 19901
p 2 2167 5372 621 62557 21105
p 2 2515 5236 409 77577 23070
p 2 1340 6516 304 96826 22415
p 2 388 7522 250 78268 20713
p 2 358 7612 190 78615 20167
p 2 1071 6831 258 80420 21121
p 2 2532 5337 291 82836 23008
i 2 8160 0 0 61980 23940
i 2 8160 0 0 93002 23589
p 2 3401 4421 338 85398 23501
p 2 757 7136 267 66192 20784
p 2 824 7127 209 67718 20279
p 2 1026 6877 257 62310 20786
p 2 2432 5404 324 76457 22652
p 2 3280 4530 350 67761 24020
p 2 3583 4247 330 105120 23975
p 2 1658 6207 295 89613 23129
p 2 519 7403 238 72631 21137
p 2 644 7319 197 70748 20755
p 2 866 7063 231 78367 20623
p 2 2316 5540 304 81202 22716
p 2 2932 4883 345 67290 23623
p 2 3404 4433 323 105256 23468
p 2 1515 6337 308 103700 23036
p 2 622 7296 242 82968 21447
p 2 717 7246 197 70961 20778
p 2 949 6989 222 67089 20603
p 2 3191 4775 194 125090 25469
i 2 8160 0 0 312544 27225
p 2 1633 5247 1280 82482 15968
p 2 97 5931 2132 61529 10409
p 2 0 5750 2410 31664 8702
p 2 122 6149 1889 52640 10725
p 2 0 5811 2349 82356 8497
p 2 229 5595 2336 54178 10757
p 2 0 5842 2318 33444 8743
p 2 351 4743 3066 55397 9897
p 2 0 5033 3127 25213 7615
p 2 328 5210 2622 49978 10467
p 2 0 5408 2752 63963 7867
p 2 294 5360 2506 50574 10757
p 2 0 5460 2700 32581 8259
p 2 347 4511 3302 50540 9671
p 2 0 5022 3138 27502 7674
p 2 131 5569 2460 48521 10422
p 2 0 5666 2494 66580 8654
p 2 138 5695 2327 56947 10816
p 2 3 5951 2206 44631 9693
p 2 117 4983 3060 62805 9454
p 2 2 5233 2925 37115 7746
p 2 131 5824 2205 57588 10757
p 2 1 5768 2391 84586 8462
p 2 186 5435 2539 57778 10758
p 2 0 5868 2292 41414 8889
p 2 157 4879 3124 63816 9593
p 2 0 5035 3125 33829 7349
p 2 114 5598 2448 58822 10299
p 2 0 5293 2867 79539 7791
p 2 239 4792 3129 71693 9910
p 2 0 5537 2623 59704 8559
p 2 127 4586 3447 80782 8915
p 2 0 4506 3654 52620 7005
p 2 77 5177 2906 76283 9462
p 2 0 4896 3264 81484 7526
i 2 8160 0 0 107876 26956
p 2 0 5853 2307 14142 7367
p 2 0 6470 1690 29063 7934
p 2 0 4621 3539 17026 6433
p 2 0 4862 3298 13243 6416
p 2 0 3731 4429 10645 5154
p 2 0 3511 4649 12199 4706
p 2 0 2766 5394 8877 3996
p 2 0 3274 4886 9676 4561
p 2 0 4835 3325 13353 6444
p 2 0 4285 3875 12982 5805
p 2 0 5171 2989 32500 6946
p 2 0 4656 3504 19938 6509
p 2 0 5363 2797 16112 7019
p 2 0 4450 3710 14454 6003
p 2 0 3659 4501 17591 5053
p 2 0 3340 4820 12193 4745
p 2 0 3860 4300 12870 5234
p 2 0 5161 2999 16462 6877
p 2 0 5107 3053 17096 6694
p 2 0 5600 2560 33399 7509
p 2 0 5350 2810 22029 7222
p 2 0 4923 3237 19441 6774
p 2 0 5040 3120 19452 6807
p 2 0 4697 3463 25400 6359
p 2 0 4265 3895 16778 5892
p 2 0 4421 3739 16438 6022
p 2 0 5728 2432 20522 7524
p 2 0 5376 2784 21299 7107
p 2 0 5276 2884 31241 7099
p 2 0 4845 3315 20557 6653
p 2 0 5696 2464 19554 7425
p 2 0 5008 3152 18986 6695
p 2 0 4360 3800 24397 5955
p 2 0 4099 4061 16345 5712
p 2 0 4372 3788 16403 5935
p 2 0 5481 2679 19592 7298
p 2 0 5393 2767 21150 7113
p 2 0 5303 2857 29289 7135
p 2 2 4731 3427 24684 6649
p 2 4 4669 3487 25909 6678
p 2 10 4394 3756 31437 6310
p 2 46 3464 4650 23792 5676
p 2 124 5686 2350 20058 8268
p 2 0 5212 2948 19524 7216
p 2 0 5646 2514 21185 7511
i 2 8160 0 0 144637 27616
p 2 0 3118 5042 25765 5110
p 2 1 3416 4743 22608 5131
p 2 0 2625 5535 25578 4144
p 2 0 2615 5545 19113 4038
p 2 0 2806 5354 22310 4499
p 2 0 2683 5477 36481 4318
p 2 0 2406 5754 21621 4128
p 2 0 2249 5911 19762 3888
p 2 0 1955 6205 24111 3419
p 2 0 1726 6434 16873 3192
p 2 0 2487 5673 19201 4031
p 2 0 2422 5738 21632 3995
p 2 0 2285 5875 32756 3873
p 2 0 2101 6059 21320 3722
p 2 10 2755 5395 23822 4504
p 2 40 2067 6053 28440 3835
p 2 93 2471 5596 25396 4643
p 2 136 5268 2756 78798 10376
p 2 855 4465 2840 109580 15107
p 2 210 5802 2148 57073 11974
p 2 157 6123 1880 46975 11396
p 2 170 6322 1668 48006 11169
p 2 173 5689 2298 42632 10996
p 2 238 6011 1911 39798 11459
p 2 299 5788 2073 42508 11469
p 2 287 5402 2471 41280 11261
p 2 330 5752 2078 41678 12043
p 2 334 6031 1795 47766 12516
p 2 348 5507 2305 48446 12347
p 2 231 6035 1894 48007 12710
p 2 145 6314 1701 53899 12836
p 2 132 6041 1987 49871 12384
p 2 82 6171 1907 50709 11877
p 2 11 5488 2661 40826 10703
p 2 14 5610 2536 38323 10192
p 2 0 4625 3535 33023 7488
p 2 77 4095 3988 22160 6637
p 2 0 4662 3498 20730 6478
p 2 102 3953 4105 25388 6071
p 2 0 3209 4951 16050 4767
p 2 86 4060 4014 19788 6283
p 2 0 3194 4966 21456 4870
i 2 8160 0 0 164727 26846
p 2 1 4339 3820 48194 6829
p 2 0 4653 3507 69331 6813
p 2 303 4043 3814 55934 7600
p 2 144 3963 4053 59496 7055
p 2 64 3659 4437 79689 6390
p 2 33 3386 4741 38653 5327
p 2 0 3587 4573 41720 5493
p 2 70 3916 4174 66310 6238
p 2 4 3893 4263 46761 5968
p 2 102 3380 4678 42855 5854
p 2 0 3261 4899 39512 5079
p 2 118 2865 5177 52220 5286
p 2 0 2862 5298 37282 4587
p 2 97 2987 5076 42678 5367
p 2 3 3538 4619 39857 5426
p 2 99 3213 4848 45889 5594
p 2 0 3822 4338 61400 5609
p 2 76 3563 4521 50858 6020
p 2 0 3520 4640 40899 5398
p 2 19 3209 4932 44079 5309
p 2 0 2930 5230 49921 4700
p 2 5 2890 5265 42381 4865
p 2 0 3009 5151 40578 4775
p 2 2 3549 4609 44047 5589
p 2 0 3433 4727 45733 5289
p 2 6 3734 4420 63679 5681
p 2 0 3563 4597 46881 5529
p 2 6 3253 4901 43423 5209
p 2 0 3103 5057 42746 4985
p 2 5 2905 5250 51080 4689
p 2 0 2706 5454 39987 4480
