# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
i 2 8160 0 0 56952 22957
i 2 8160 0 0 96070 23049
p 2 2997 5018 145 86726 23000
p 2 1634 6441 85 67335 22059
p 2 2581 5464 115 86781 23826
p 2 1818 6243 99 80879 22992
p 2 520 7542 98 88172 21355
p 2 802 7244 114 65909 20804
p 2 1062 7034 64 68014 21249
p 2 1373 6696 91 60671 21764
p 2 2084 5954 122 80063 23141
p 2 2937 5042 181 63163 23613
p 2 3454 4550 156 98939 24830
p 2 1506 6411 243 93049 23251
p 2 479 7549 132 73237 21722
p 2 630 7355 175 71783 21085
p 2 749 7184 227 64678 20920
p 2 2042 5818 300 76308 22584
p 2 2731 5068 361 65375 23317
p 2 3097 4708 355 89298 23841
p 2 1456 6425 279 91394 22618
p 2 388 7553 219 68996 21130
p 2 511 7459 190 72576 20686
p 2 690 7247 223 64368 20057
p 2 2314 5542 304 77603 22761
p 2 3109 4687 364 66876 23513
p 2 3082 4682 396 86073 23878
p 2 1674 6188 298 88030 22739
p 2 393 7510 257 71395 20798
p 2 423 7547 190 73405 20410
p 2 457 7436 267 69604 19995
p 2 1780 6058 322 78861 22311
p 2 2764 4969 427 73443 23182
p 2 2834 4943 383 89101 23937
p 2 1468 6403 289 97564 22737
p 2 401 7517 242 73017 20372
p 2 425 7525 210 73419 19643
p 2 413 7491 256 70674 19479
p 2 2343 5476 341 79472 22821
p 2 2863 4746 551 71390 22898
p 2 2426 5328 406 88256 23262
p 2 1225 6618 317 99268 22288
p 2 319 7586 255 73035 20114
p 2 267 7648 245 72512 19512
p 2 450 7349 361 69273 19215
p 2 2067 5776 317 78192 22463
p 2 2811 4712 637 73448 22518
p 2 2138 5564 458 85073 22885
p 2 1046 6786 328 98095 21728
p 2 255 7572 333 69743 19315
p 2 240 7545 375 70554 18734
p 2 435 7308 417 66382 18608
p 2 1812 5955 393 80786 21640
p 2 2502 4976 682 71817 22012
p 2 2170 5431 559 87823 22537
p 2 955 6760 445 85645 21233
p 2 285 7399 476 85476 18831
p 2 161 7555 444 76783 18224
p 2 440 7114 606 71498 18278
p 2 1566 6176 418 88741 21130
p 2 2502 5050 608 75124 22092
p 2 1881 5705 574 95695 21869
p 2 995 6667 498 82517 20843
p 2 254 7438 468 83974 18403
p 2 107 7591 462 67517 17458
p 2 319 7313 528 72241 17782
p 2 1540 6173 447 84867 20310
p 2 2296 5240 624 72132 21619
p 2 2108 5505 547 90339 22021
p 2 905 6755 500 82882 20733
p 2 209 7433 518 79493 18024
p 2 99 7606 455 63584 17326
p 2 288 7333 539 69253 17555
p 2 1175 6569 416 83303 19812
p 2 2241 5329 590 71710 21516
p 2 1899 5738 523 92066 22003
p 2 923 6754 483 76300 20624
p 2 209 7489 462 76069 17869
p 2 124 7521 515 60636 17065
p 2 343 7273 544 69667 17510
p 2 1499 6187 474 82933 20298
p 2 2263 5256 641 70723 21589
p 2 1820 5803 537 91729 21710
p 2 952 6709 499 78307 20458
p 2 229 7426 505 74286 17893
p 2 107 7585 468 61765 17007
p 2 335 7265 560 67051 17291
p 2 1514 6203 443 84949 20385
p 2 2292 5239 629 73085 21493
p 2 1864 5767 529 91298 22020
p 2 939 6740 481 77898 20485
p 2 249 7379 532 73777 18062
p 2 114 7520 526 65902 17472
p 2 365 7231 564 80153 17469
p 2 1510 6215 435 115226 20631
p 2 2268 5285 607 68875 21767
p 2 1756 5872 532 97564 21609
p 2 1063 6593 504 77318 20649
p 2 227 7423 510 76725 18323
p 2 98 7592 470 58775 17301
p 2 337 7259 564 63795 17533
p 2 1530 6203 427 86102 20252
p 2 2376 5161 623 74548 21874
p 2 1931 5649 580 93666 22224
p 2 1018 6651 491 77254 20737
p 2 248 7427 485 76019 18096
p 2 101 7545 514 63002 17400
p 2 297 7297 566 67155 17510
p 2 1532 6189 439 82493 20404
p 2 2250 5301 609 71702 21632
p 2 1798 5833 529 89830 21935
p 2 883 6796 481 78833 20399
p 2 224 7412 524 76733 17981
p 2 102 7586 472 66011 17273
p 2 323 7264 573 70773 17564
p 2 1519 6236 405 82375 20343
p 2 2236 5309 615 72796 21416
p 2 1841 5788 531 90406 21718
p 2 939 6758 463 77530 20392
p 2 231 7429 500 74123 17952
p 2 99 7589 472 66446 17325
p 2 298 7314 548 67486 17388
p 2 1493 6213 454 83555 20430
p 2 2292 5247 621 71766 21819
p 2 1884 5784 492 93123 22007
p 2 995 6691 474 76877 20565
p 2 226 7433 501 71920 17722
p 2 103 7592 465 65835 16950
p 2 387 7229 544 67573 17560
p 2 1503 6242 415 79888 20311
p 2 2256 5292 612 73805 21609
p 2 1821 5828 511 88835 21926
p 2 947 6717 496 78372 20582
p 2 296 7391 473 74610 18348
p 2 136 7501 523 64413 17316
p 2 277 7329 554 64160 17513
p 2 1574 6110 476 69203 20172
p 2 2159 5349 652 63547 21071
p 2 2356 5403 401 79953 23056
p 2 1290 6554 316 102024 22065
p 2 395 7489 276 77834 20709
p 2 344 7603 213 78174 20114
p 2 1004 6893 263 79626 21018
p 2 2479 5389 292 83591 23136
i 2 8160 0 0 57304 23971
i 2 8160 0 0 90494 23607
p 2 3402 4421 337 88728 23421
p 2 729 7156 275 77097 20883
p 2 740 7223 197 76029 20518
p 2 1162 6747 251 66891 20966
p 2 2810 5031 319 81568 23416
p 2 3338 4465 357 66999 23996
p 2 3312 4509 339 96973 23879
p 2 1654 6222 284 98794 22847
p 2 545 7362 253 72314 21167
p 2 645 7322 193 70164 20629
p 2 818 7096 246 67965 20378
p 2 2357 5500 303 81900 22516
p 2 3060 4747 353 66912 23941
p 2 3495 4334 331 104082 23745
p 2 1717 6172 271 101983 23134
p 2 615 7285 260 74445 21557
p 2 669 7257 234 68016 20569
p 2 840 7084 236 67708 20765
i 2 8160 0 0 144986 25025
i 2 8160 0 0 349519 28839
p 2 1583 5622 955 127821 15401
p 2 0 6944 1216 56325 9919
p 2 0 6960 1200 54474 9655
p 2 0 7012 1148 75797 9049
p 2 0 7000 1160 43916 8741
p 2 0 6930 1230 52109 8925
p 2 0 6994 1166 60559 9385
p 2 0 6929 1231 64712 9338
p 2 0 6920 1240 161011 9429
p 2 0 6812 1348 74816 9116
p 2 0 7113 1047 48659 9260
p 2 0 6959 1201 46288 8920
p 2 0 6921 1239 62745 8984
p 2 0 6891 1269 43551 8858
p 2 0 6990 1170 46897 8981
p 2 0 7039 1121 54590 9433
p 2 0 7024 1136 56309 9435
p 2 0 6978 1182 139645 9395
p 2 0 6956 1204 67044 9085
p 2 0 6915 1245 54504 9402
p 2 0 7081 1079 53750 9235
p 2 0 7025 1135 80099 8964
p 2 0 7005 1155 47968 8890
p 2 0 7003 1157 50606 9046
p 2 0 7095 1065 57871 9485
p 2 0 6966 1194 64309 9308
p 2 0 6965 1195 138211 9398
p 2 110 6675 1375 66657 9445
p 2 0 7093 1067 55904 9325
p 2 0 7008 1152 60063 9155
p 2 0 6863 1297 93993 9004
p 2 0 6872 1288 54733 9077
p 2 0 7056 1104 53541 9238
p 2 0 7074 1086 60078 9687
p 2 0 7085 1075 67610 9495
p 2 0 6991 1169 120783 9384
i 2 8160 0 0 234015 28217
p 2 0 3406 4754 60391 5594
p 2 0 3360 4800 48899 5447
p 2 0 2924 5236 45313 4867
p 2 0 2743 5417 51705 4598
p 2 0 2824 5336 49469 4826
p 2 0 2856 5304 45215 4815
p 2 0 3313 4847 47931 5312
p 2 0 3278 4882 83859 5441
p 2 0 3371 4789 74041 5592
p 2 0 3315 4845 67890 5570
p 2 0 3246 4914 67282 5477
p 2 0 3042 5118 71902 5162
p 2 0 3069 5091 68154 5311
p 2 4 3152 5004 66929 5434
p 2 46 3861 4253 69851 6600
p 2 31 3289 4840 74742 5948
p 2 13 3224 4923 84983 5872
p 2 9 3302 4849 70558 5909
p 2 0 3320 4840 82618 5782
p 2 1 3097 5062 72563 5467
p 2 8 3939 4213 112349 7136
p 2 0 3538 4622 91011 6087
p 2 4 3574 4582 107752 6630
p 2 0 3611 4549 66599 5972
p 2 3 3902 4255 113894 6699
p 2 0 3469 4691 63617 5730
p 2 1 3488 4671 87392 6106
p 2 0 3282 4878 63390 5539
p 2 0 2983 5177 72233 5189
p 2 0 2937 5223 59443 5019
p 2 1 2986 5173 61817 5093
p 2 0 3647 4513 65847 5909
p 2 0 3273 4887 66714 5495
p 2 0 3365 4795 80748 5518
p 2 1 3300 4859 66686 5455
p 2 0 3289 4871 65770 5527
p 2 5 3291 4864 100492 6147
p 2 0 3094 5066 61761 5280
p 2 5 3529 4626 95354 6335
p 2 0 3389 4771 86031 5661
p 2 3 3475 4682 93462 6140
p 2 0 3158 5002 69936 5316
p 2 0 3195 4965 88362 5777
p 2 0 3462 4698 69353 5765
p 2 0 3359 4801 87166 5538
p 2 0 3170 4990 65619 5311
p 2 0 3107 5053 59430 5211
p 2 0 2877 5283 57876 4939
p 2 0 2706 5454 63464 4679
p 2 0 2743 5417 56572 4731
p 2 0 2806 5354 56555 4788
p 2 0 3291 4869 61370 5370
p 2 0 2918 5242 61056 4949
p 2 0 3075 5085 79308 5133
p 2 0 2951 5209 64672 5023
p 2 0 3019 5141 65063 5145
p 2 0 2785 5375 68937 4779
p 2 1 2754 5405 61069 4810
p 2 386 3215 4559 151813 8798
p 2 0 3234 4926 84701 5885
p 2 421 3538 4201 164493 9640
p 2 0 3656 4504 93405 6502
i 2 8160 0 0 263498 29427
p 2 24 4398 3738 159566 8790
p 2 32 4275 3853 158897 8884
p 2 0 4323 3837 103003 7532
p 2 322 3934 3904 118052 8373
p 2 278 3987 3895 140983 8477
p 2 302 3544 4314 131277 8282
p 2 0 3831 4329 84873 6551
p 2 107 3842 4211 141157 7858
p 2 0 3751 4409 86233 6470
p 2 1050 3327 3783 205678 12562
p 2 0 3675 4485 81065 6585
p 2 405 4007 3748 215285 10997
p 2 0 3567 4593 69499 6671
p 2 147 3774 4239 163973 9457
p 2 0 3441 4719 72111 6622
p 2 0 3124 5036 59455 5769
p 2 0 3346 4814 57842 5774
p 2 387 3749 4024 177934 10737
p 2 0 3604 4556 88647 6547
p 2 182 5323 2655 234133 12218
p 2 0 4116 4044 93909 7447
p 2 957 3644 3559 172650 12221
p 2 0 3696 4464 84032 6798
p 2 906 3694 3560 192875 11857
p 2 0 3801 4359 67453 6459
p 2 1209 3010 3941 203122 12429
p 2 0 3630 4530 80348 6692
p 2 741 4611 2808 239842 14320
p 2 1241 4634 2285 269333 18068
p 2 1390 4757 2013 272160 18846
p 2 1258 5114 1788 261267 19132
p 2 745 5446 1969 239332 16835
p 2 183 5712 2265 175377 13680
p 2 289 5020 2851 175575 12192
p 2 0 4747 3413 83437 8817
p 2 188 4886 3086 151630 10815
p 2 0 4378 3782 90286 7798
p 2 60 4694 3406 140302 9581
p 2 1 4419 3740 87965 7571
p 2 85 4419 3656 143801 9049
p 2 5 4265 3890 96985 7469
p 2 214 4054 3892 93218 8174
p 2 26 4181 3953 81833 7157
p 2 144 3761 4255 87733 7426
p 2 14 4032 4114 87139 6889
p 2 246 3524 4390 89719 7523
p 2 4 3822 4334 61647 6453
p 2 45 3793 4322 94248 6989
p 2 0 3456 4704 61458 5824
p 2 19 3336 4805 76463 6181
p 2 1 3159 5000 70665 5511
p 2 31 3030 5099 74574 5855
p 2 0 3550 4610 60445 5950
p 2 0 3250 4910 62052 5514
p 2 0 3022 5138 66371 5229
i 2 8160 0 0 169274 27817
p 2 0 2540 5620 42521 4219
