# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 468 7258 434 27913 9703
p 2 4109 2555 1496 58576 20088
i 2 8160 0 0 151193 26170
p 2 7594 566 0 239923 32375
p 2 1633 6498 29 289129 25731
p 2 7047 1113 0 367668 36731
p 2 2182 5978 0 438683 31631
p 2 1830 6317 13 474199 30683
p 2 4547 3613 0 522459 38427
p 2 3898 4262 0 559304 37869
p 2 4206 3954 0 594827 39039
p 2 3585 4575 0 613563 37434
p 2 3042 5118 0 650801 36008
p 2 3191 4969 0 628014 36394
p 2 2783 5377 0 635161 35003
p 2 2700 5460 0 661775 34534
p 2 2643 5517 0 692806 34358
p 2 2441 5719 0 732083 33401
p 2 2564 5596 0 829555 34376
p 2 2303 5857 0 680285 31730
p 2 2228 5932 0 784080 32582
p 2 1947 6213 0 725665 31311
p 2 1652 6508 0 758639 29707
p 2 1786 6374 0 693944 30529
p 2 1707 6453 0 750544 30194
p 2 1540 6620 0 688438 29147
p 2 1010 7150 0 696325 26080
p 2 1355 6805 0 594516 27063
p 2 1276 6884 0 663059 27677
p 2 1012 7148 0 564680 25796
p 2 654 7506 0 569515 23837
p 2 798 7361 1 452450 23876
p 2 890 7269 1 521664 25522
p 2 609 7548 3 422617 23124
p 2 374 7785 1 435910 22250
p 2 503 7657 0 361886 22395
p 2 432 7727 1 389887 23012
p 2 347 7813 0 318368 21934
p 2 189 7968 3 329616 21164
p 2 259 7893 8 246932 20648
p 2 221 7936 3 261873 21746
p 2 230 7922 8 207215 20607
p 2 164 7994 2 209180 20193
p 2 125 8015 20 147781 18538
p 2 75 8072 13 160960 18948
p 2 53 8077 30 123491 17401
p 2 33 8111 16 133389 17673
p 2 12 8122 26 97208 15997
p 2 10 8064 86 103391 15770
p 2 13 8110 37 81293 14876
p 2 22 8085 53 94357 15427
p 2 29 8109 22 83921 14814
p 2 18 8119 23 81777 14099
p 2 6 8141 13 66296 14056
p 2 174 7935 51 71417 15077
p 2 31 8047 82 64375 14983
p 2 65 8040 55 59545 14174
p 2 1 8129 30 49734 14792
p 2 0 7964 196 43280 13676
p 2 50 8109 1 58844 14863
p 2 1 8037 122 45508 13782
p 2 22 8124 14 47494 14639
p 2 0 7931 229 42335 13834
p 2 15 8144 1 54906 15143
p 2 0 7928 232 41200 14017
p 2 0 8053 107 34604 13308
p 2 0 7668 492 32665 11629
p 2 0 7595 565 27094 10615
p 2 0 7300 860 25298 9401
p 2 0 7334 826 23166 9191
p 2 2 7297 861 35954 9615
i 2 8160 0 0 22556 22556
p 2 0 2 8158 1086 1085
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 38838 23279
i 2 8160 0 0 50074 23871
p 2 3077 4951 132 62501 23233
p 2 1565 6479 116 65975 22268
p 2 2678 5461 21 69649 24424
p 2 1637 6482 41 84090 23278
p 2 545 7564 51 79368 21608
p 2 662 7436 62 72976 21051
p 2 1149 6990 21 74452 21886
p 2 1254 6885 21 71913 22293
p 2 2789 5367 4 67151 24228
p 2 3245 4910 5 61127 25325
p 2 3395 4756 9 81665 25998
p 2 1330 6822 8 83489 23850
p 2 334 7806 20 77913 22146
p 2 745 7404 11 75237 21948
p 2 669 7481 10 75719 21999
p 2 2919 5233 8 71652 24690
p 2 3712 4410 38 61173 25753
p 2 3350 4774 36 82455 25760
p 2 1198 6938 24 83562 23485
p 2 376 7761 23 77465 21760
p 2 520 7618 22 76886 21656
p 2 691 7465 4 74606 21524
p 2 2946 5207 7 87221 24693
i 2 8160 0 0 52135 24633
i 2 8160 0 0 65358 24761
p 2 3196 4948 16 78022 24270
p 2 534 7595 31 68986 21220
p 2 501 7630 29 65594 20798
p 2 588 7559 13 73585 21274
p 2 2726 5421 13 72771 24415
p 2 3846 4277 37 68225 26013
p 2 2887 5254 19 86200 25659
p 2 1338 6796 26 79671 23607
p 2 301 7843 16 65842 20926
p 2 338 7810 12 72941 20814
p 2 404 7741 15 68903 20710
p 2 2645 5508 7 73570 24365
p 2 3795 4341 24 67909 26012
p 2 2596 5536 28 84275 25285
p 2 1124 7016 20 76859 23173
p 2 260 7873 27 69706 20918
p 2 246 7900 14 64990 20493
p 2 463 7687 10 72404 20694
p 2 2269 5883 8 73821 23973
p 2 3537 4609 14 69000 25767
p 2 2570 5559 31 78832 25285
p 2 997 7157 6 87261 23209
p 2 253 7887 20 64162 20438
p 2 194 7932 34 61847 20048
p 2 428 7704 28 62509 19944
p 2 2000 6152 8 74930 23399
p 2 3386 4741 33 72432 25548
p 2 2623 5491 46 81911 25251
p 2 869 7275 16 77997 22908
p 2 317 7770 73 65427 20174
p 2 135 7990 35 65903 19601
p 2 474 7663 23 71644 20176
p 2 1812 6328 20 74215 23039
p 2 3169 4945 46 74766 24724
p 2 2214 5903 43 87454 24610
p 2 840 7287 33 75277 22066
p 2 220 7864 76 66071 19489
p 2 137 7943 80 59241 18732
p 2 351 7787 22 69790 19306
p 2 1852 6291 17 72416 22106
p 2 3168 4950 42 73097 24595
p 2 2059 6061 40 82407 23972
p 2 837 7282 41 73942 22001
p 2 201 7904 55 64581 19474
p 2 109 7999 52 57903 18904
p 2 344 7765 51 64667 19024
p 2 1772 6384 4 110010 22498
p 2 3132 4986 42 75223 24575
p 2 2125 5982 53 85784 24356
p 2 875 7253 32 72045 21789
p 2 207 7895 58 62862 19574
p 2 100 7938 122 55382 18545
p 2 323 7788 49 68093 19091
p 2 1831 6312 17 71087 22047
p 2 3512 4616 32 71068 25029
p 2 2917 5195 48 79499 24471
p 2 725 7412 23 74572 21803
p 2 211 7839 110 61582 19310
p 2 111 7927 122 56630 18539
p 2 320 7738 102 61900 18801
p 2 1834 6317 9 73300 22290
p 2 3114 5011 35 73023 24730
p 2 2192 5921 47 80823 24265
p 2 875 7234 51 72466 21734
p 2 207 7902 51 65466 19680
p 2 152 7950 58 61125 19046
p 2 322 7790 48 64754 19138
p 2 1796 6339 25 67839 22038
p 2 3518 4605 37 68493 24877
p 2 2835 5286 39 79627 24505
p 2 766 7352 42 72480 21913
p 2 200 7910 50 66740 19492
p 2 91 8031 38 59161 18743
p 2 302 7809 49 65998 19104
p 2 1853 6280 27 72338 22127
p 2 3124 4992 44 72607 24452
p 2 2302 5815 43 81875 24567
p 2 798 7329 33 72385 21779
p 2 213 7895 52 61107 19539
p 2 114 7920 126 56455 18664
p 2 327 7750 83 61988 18929
p 2 1790 6349 21 66136 21909
p 2 3109 5007 44 69823 24397
p 2 2126 5983 51 79643 24147
p 2 810 7324 26 69755 21622
p 2 228 7868 64 61723 19193
p 2 109 7993 58 60727 18971
p 2 269 7864 27 67013 19194
p 2 1844 6308 8 66893 22140
p 2 3126 4990 44 74416 24811
p 2 2194 5928 38 81386 24324
p 2 853 7269 38 75090 21865
p 2 203 7919 38 64188 19646
p 2 137 7985 38 63628 19152
p 2 370 7700 90 61924 19044
p 2 1855 6289 16 68974 22252
p 2 3228 4908 24 69136 24757
p 2 2187 5932 41 85551 24403
p 2 892 7237 31 70739 21869
p 2 241 7815 104 63418 19315
p 2 111 8017 32 63801 19133
p 2 305 7798 57 66679 19047
p 2 1834 6302 24 67657 22181
p 2 3507 4616 37 71659 25016
p 2 2840 5274 46 76852 24586
p 2 865 7212 83 68167 21660
p 2 242 7870 48 60866 19569
p 2 130 7968 62 56838 18899
p 2 308 7802 50 58757 19175
p 2 1991 6148 21 61309 22372
p 2 3276 4842 42 64488 24637
p 2 2445 5680 35 74258 25059
p 2 1229 6916 15 84948 23338
p 2 373 7763 24 73338 21698
p 2 366 7792 2 65413 21319
p 2 920 7230 10 79583 22395
p 2 3054 5102 4 67639 24901
i 2 8160 0 0 47325 24353
i 2 8160 0 0 75826 24106
p 2 3497 4640 23 82747 24612
p 2 652 7472 36 82816 21575
p 2 893 7256 11 81617 21374
p 2 1140 7013 7 77330 21982
p 2 3019 5132 9 75637 24558
p 2 4289 3840 31 61344 26205
p 2 3961 4163 36 91827 25765
p 2 1490 6650 20 91246 23704
p 2 513 7625 22 80731 22073
p 2 617 7530 13 83632 21717
p 2 852 7298 10 77174 22042
p 2 3015 5133 12 77931 24664
p 2 3554 4573 33 66070 25245
p 2 3893 4237 30 92750 25891
p 2 1322 6820 18 89751 23849
p 2 531 7618 11 82757 22344
p 2 652 7489 19 81502 21694
p 2 881 7268 11 77594 22103
p 2 3684 4476 0 70023 25136
i 2 8160 0 0 31643 23184
p 2 1965 1957 4238 12556 9917
p 2 119 8041 0 34015 10458
p 2 0 1510 6650 3376 3113
p 2 0 1157 7003 2796 2438
p 2 0 1107 7053 2497 2218
p 2 0 943 7217 2269 1969
p 2 0 881 7279 2183 1906
p 2 0 815 7345 2070 1844
p 2 0 811 7349 2098 1833
p 2 0 664 7496 2012 1724
p 2 0 777 7383 2096 1802
p 2 0 760 7400 2105 1796
p 2 0 860 7300 2183 1885
p 2 0 653 7507 1977 1707
p 2 0 677 7483 2008 1731
p 2 0 644 7516 1983 1701
p 2 0 809 7351 2154 1850
p 2 0 618 7542 1985 1688
p 2 0 753 7407 1997 1765
p 2 0 701 7459 2071 1743
p 2 1 765 7394 2079 1807
p 2 0 637 7523 2000 1693
p 2 0 805 7355 2219 1831
p 2 0 631 7529 2059 1707
p 2 0 781 7379 2091 1798
p 2 0 661 7499 1981 1708
p 2 910 7250 0 31681 11172
p 2 0 1578 6582 3862 2829
p 2 0 1886 6274 4183 2943
p 2 173 1661 6326 7934 3501
p 2 100 2255 5805 17992 4270
p 2 26 2643 5491 21745 4395
p 2 0 2768 5392 10814 4092
p 2 0 2600 5560 9942 4009
p 2 0 2554 5606 11742 4013
p 2 0 2809 5351 10310 4185
p 2 0 2795 5365 10118 4143
p 2 0 2668 5492 11003 4017
p 2 0 2578 5582 8979 3967
p 2 0 2829 5331 7535 4047
p 2 0 2855 5305 6476 3959
p 2 0 2527 5633 7240 3730
p 2 0 2598 5562 6941 3810
p 2 0 2722 5438 6746 3942
p 2 0 2761 5399 8685 3988
p 2 0 2714 5446 9304 3969
p 2 0 2572 5588 11671 3862
p 2 0 2824 5336 7085 4060
p 2 0 2931 5229 7042 4157
p 2 0 2800 5360 7168 4065
p 2 0 2697 5463 7365 3981
p 2 0 3253 4907 7596 4436
p 2 0 3278 4882 7333 4441
p 2 0 3199 4961 7686 4410
p 2 0 2993 5167 8018 4303
p 2 1 3248 4911 7469 4455
p 2 0 3113 5047 8896 4360
p 2 0 3038 5122 9496 4300
p 2 0 2872 5288 10026 4153
p 2 0 3384 4776 7885 4578
p 2 0 3369 4791 7705 4576
p 2 0 3366 4794 8138 4585
p 2 0 3060 5100 8058 4336
p 2 0 3453 4707 7937 4623
p 2 0 3194 4966 7534 4411
p 2 0 3285 4875 8069 4498
p 2 0 3000 5160 8299 4290
p 2 0 3241 4919 7137 4452
p 2 0 3200 4960 7087 4396
