# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 467 7455 238 31058 9762
p 2 4152 2053 1955 54319 19158
i 2 8160 0 0 149213 26135
p 2 7529 631 0 229849 32178
p 2 1579 6559 22 297695 25592
p 2 7231 929 0 368975 36911
p 2 2195 5965 0 438688 31646
p 2 1835 6309 16 477303 30874
p 2 4546 3614 0 524212 38497
p 2 3951 4209 0 558660 37993
p 2 4216 3944 0 594225 38948
p 2 3595 4565 0 604904 37434
p 2 2937 5223 0 646826 35698
p 2 3200 4960 0 642915 36496
p 2 2931 5229 0 639979 35393
p 2 2581 5579 0 657566 34274
p 2 2587 5573 0 684176 34283
p 2 2394 5766 0 721803 33351
p 2 2487 5673 0 846653 33619
p 2 2185 5975 0 683645 31265
p 2 2293 5867 0 794068 32912
p 2 1983 6177 0 736314 31247
p 2 1712 6448 0 770269 30444
p 2 1843 6317 0 695083 30871
p 2 1653 6507 0 756299 29936
p 2 1598 6562 0 692630 29543
p 2 1003 7156 1 705601 26507
p 2 1450 6710 0 625033 28152
p 2 1291 6869 0 671608 27902
p 2 1002 7158 0 557782 25976
p 2 772 7388 0 589396 24912
p 2 863 7297 0 475285 24750
p 2 889 7270 1 527266 25709
p 2 567 7592 1 415608 23341
p 2 382 7777 1 449765 22873
p 2 507 7652 1 366424 22739
p 2 463 7695 2 387174 23374
p 2 361 7796 3 304818 21796
p 2 216 7940 4 324065 21642
p 2 227 7931 2 242360 20707
p 2 217 7941 2 254285 21594
p 2 230 7920 10 201139 20490
p 2 156 7997 7 201856 20111
p 2 124 8014 22 144998 18445
p 2 74 8068 18 153322 18617
p 2 49 8078 33 118686 17070
p 2 29 8113 18 127229 17222
p 2 17 8117 26 94666 15916
p 2 12 8049 99 99635 15431
p 2 9 8099 52 77995 14350
p 2 26 8063 71 93220 15283
p 2 39 8097 24 82307 14794
p 2 34 8101 25 79977 14025
p 2 13 8131 16 64923 14286
p 2 127 7978 55 70218 15108
p 2 24 8045 91 63251 15078
p 2 73 8027 60 59367 14711
p 2 1 8131 28 50017 15045
p 2 3 7886 271 42162 13538
p 2 32 8127 1 59468 15290
p 2 2 8048 110 46619 13853
p 2 9 8138 13 47598 14937
p 2 8 7935 217 42975 14421
p 2 47 8110 3 55595 15667
p 2 0 7942 218 41940 14445
p 2 0 8049 111 33963 13351
p 2 0 7768 392 33070 12152
p 2 0 7545 615 27850 10607
p 2 0 7365 795 25548 9561
p 2 0 7140 1020 23258 9031
p 2 1 7303 856 34641 9590
i 2 8160 0 0 22562 22562
p 2 0 22 8138 1119 1106
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 36570 23289
i 2 8160 0 0 46246 23839
p 2 3072 4987 101 61255 23284
p 2 1626 6391 143 63533 22234
p 2 2658 5481 21 66045 24383
p 2 1561 6558 41 73612 22965
p 2 424 7679 57 72015 21136
p 2 704 7379 77 66991 20917
p 2 1199 6925 36 70835 21489
p 2 1237 6898 25 70226 22354
p 2 2761 5391 8 62682 24166
p 2 3231 4922 7 58454 25073
p 2 3499 4654 7 75449 26122
p 2 1352 6782 26 80406 23719
p 2 408 7730 22 76408 22237
p 2 679 7468 13 72924 21950
p 2 741 7400 19 72482 21771
p 2 2893 5247 20 65355 24778
p 2 3695 4433 32 58428 25424
p 2 3297 4830 33 75573 25701
p 2 1282 6861 17 79777 23299
p 2 344 7792 24 74183 21732
p 2 576 7562 22 73056 21748
p 2 543 7599 18 71959 21962
p 2 2843 5312 5 91139 24969
i 2 8160 0 0 47793 24644
i 2 8160 0 0 60222 24802
p 2 3213 4927 20 71944 24190
p 2 537 7581 42 66515 21223
p 2 475 7668 17 64632 20903
p 2 600 7545 15 68588 21207
p 2 2800 5354 6 67217 24591
p 2 3923 4196 41 63675 26122
p 2 3118 5005 37 77840 25866
p 2 1252 6870 38 76742 23491
p 2 313 7824 23 64297 20890
p 2 304 7840 16 69558 20790
p 2 411 7730 19 65669 20695
p 2 2635 5513 12 68630 24256
p 2 3736 4388 36 64407 26102
p 2 2855 5273 32 75525 25467
p 2 1152 6980 28 74256 23115
p 2 247 7866 47 67488 20783
p 2 255 7881 24 63257 20256
p 2 430 7720 10 68136 20553
p 2 2262 5891 7 67689 23838
p 2 3424 4713 23 65717 25561
p 2 2538 5584 38 76356 25423
p 2 995 7156 9 80231 23243
p 2 268 7871 21 62164 20415
p 2 220 7891 49 58625 19960
p 2 449 7681 30 61249 19964
p 2 2030 6112 18 69331 23261
p 2 3373 4757 30 69605 25528
p 2 2480 5635 45 74563 24847
p 2 815 7321 24 75546 22542
p 2 290 7796 74 63848 20088
p 2 156 7975 29 66217 19844
p 2 424 7714 22 67617 20051
p 2 1862 6269 29 70609 22967
p 2 3056 5057 47 70476 24674
p 2 2323 5795 42 81315 24681
p 2 880 7229 51 73847 22075
p 2 229 7848 83 63875 19457
p 2 136 7900 124 56783 18719
p 2 325 7802 33 64526 19022
p 2 1845 6297 18 65395 21978
p 2 3296 4817 47 69173 24869
p 2 2198 5917 45 79131 24099
p 2 859 7267 34 71818 21919
p 2 209 7883 68 61765 19212
p 2 123 7970 67 55450 18517
p 2 313 7793 54 60760 19025
p 2 1799 6354 7 105098 22373
p 2 3210 4911 39 73645 24695
p 2 2269 5848 43 80943 24507
p 2 820 7280 60 70001 21536
p 2 192 7889 79 60975 19270
p 2 113 7871 176 52272 18265
p 2 339 7758 63 63076 18997
p 2 1780 6358 22 67018 22020
p 2 3123 4996 41 69958 24565
p 2 2143 5965 52 81414 24364
p 2 852 7283 25 71135 21843
p 2 223 7788 149 60342 19362
p 2 95 7941 124 54514 18472
p 2 329 7703 128 60459 18798
p 2 1837 6312 11 70279 22418
p 2 3163 4953 44 69400 24628
p 2 2317 5793 50 77355 24281
p 2 860 7254 46 71539 21938
p 2 219 7870 71 62081 19305
p 2 99 8023 38 59885 18934
p 2 287 7836 37 64130 19029
p 2 1816 6300 44 64314 22165
p 2 3137 4977 46 67378 24420
p 2 2244 5871 45 78726 24482
p 2 781 7343 36 70047 21794
p 2 216 7877 67 64441 19569
p 2 96 8013 51 58028 18825
p 2 342 7775 43 62390 18925
p 2 1875 6261 24 66513 22151
i 2 8160 0 0 84146 27165
p 2 4655 3456 49 72288 25849
p 2 1905 6205 50 63798 22096
p 2 205 7862 93 57324 18581
p 2 121 7898 141 52776 17881
p 2 503 7593 64 57288 18988
p 2 1817 6318 25 62747 21813
p 2 3152 4964 44 68158 24417
p 2 2059 6043 58 77002 23900
p 2 729 7396 35 67270 21636
p 2 193 7867 100 58336 19154
p 2 87 8032 41 57555 18798
p 2 331 7793 36 61236 19224
p 2 1837 6301 22 65319 22103
p 2 3185 4932 43 68904 24607
p 2 2339 5786 35 78099 24500
p 2 829 7288 43 69889 21872
p 2 215 7891 54 60058 19368
p 2 124 7984 52 59121 18934
p 2 300 7726 134 55220 18713
p 2 1839 6284 37 62661 22080
p 2 3173 4939 48 67469 24621
p 2 2097 6019 44 78931 24103
p 2 769 7353 38 66177 21525
p 2 206 7827 127 57980 19133
p 2 120 7986 54 58671 18865
p 2 272 7832 56 61477 18897
p 2 1864 6254 42 60100 21995
p 2 3181 4928 51 67148 24725
p 2 2095 6015 50 74346 24175
p 2 778 7278 104 68074 21714
p 2 262 7847 51 59917 19666
p 2 170 7917 73 56557 19077
p 2 294 7807 59 57520 19206
p 2 1956 6165 39 58524 22173
p 2 3278 4837 45 61017 24533
p 2 2655 5464 41 71155 25149
p 2 1176 6976 8 76746 23443
p 2 363 7780 17 69562 21634
p 2 352 7802 6 63640 21172
p 2 1043 7085 32 71676 22332
i 2 8160 0 0 49965 24723
i 2 8160 0 0 43743 24342
i 2 8160 0 0 64944 24205
p 2 3418 4722 20 77734 24693
p 2 641 7490 29 80672 21836
p 2 777 7363 20 82950 21404
p 2 1120 7033 7 81237 22059
p 2 3167 4988 5 70580 24861
p 2 4156 3969 35 59410 26105
p 2 3830 4295 35 80783 25765
p 2 1429 6715 16 88643 23738
p 2 551 7603 6 81323 22237
p 2 676 7474 10 78780 21951
p 2 832 7320 8 80157 22093
p 2 3038 5115 7 68756 24773
p 2 3669 4461 30 60012 25463
p 2 3791 4338 31 81466 25851
p 2 1248 6893 19 93123 23627
p 2 503 7652 5 83345 22317
p 2 698 7447 15 82028 21804
p 2 775 7374 11 82165 21866
p 2 2382 5756 22 96541 25064
i 2 8160 0 0 257937 25800
p 2 1539 5753 868 96191 15904
p 2 0 6842 1318 62127 9939
p 2 0 6643 1517 90102 9205
p 2 0 8045 115 216657 12646
p 2 0 7657 503 54048 10459
p 2 0 7186 974 68285 10130
p 2 0 7292 868 60954 10094
p 2 0 7097 1063 86654 9628
p 2 0 6706 1454 37383 8836
p 2 0 6514 1646 52205 9133
p 2 0 6691 1469 46608 9172
p 2 0 6553 1607 66611 8964
p 2 0 6616 1544 38106 8749
p 2 0 6453 1707 49074 8914
p 2 0 6729 1431 44371 9078
p 2 0 6599 1561 62892 8969
p 2 0 6500 1660 36253 8668
p 2 0 6307 1853 47639 8638
p 2 0 6411 1749 43116 8657
p 2 0 6326 1834 64870 8529
p 2 0 6469 1691 42458 8688
p 2 0 6181 1979 50185 8602
p 2 0 6341 1819 45115 8667
p 2 0 6191 1969 68521 8408
p 2 0 6296 1864 41504 8428
p 2 0 6074 2086 53048 8428
p 2 0 6300 1860 47068 8496
p 2 0 6213 1947 66712 8427
p 2 0 6291 1869 39345 8475
p 2 0 6089 2071 49995 8393
p 2 0 6207 1953 43922 8479
p 2 0 6089 2071 64512 8223
p 2 0 6231 1929 45262 8505
p 2 0 5940 2220 49806 8302
p 2 0 6123 2037 47239 8355
p 2 0 6075 2085 66575 8297
p 2 0 6154 2006 40123 8364
p 2 0 5852 2308 48960 8133
p 2 0 6083 2077 47103 8334
p 2 0 6000 2160 68013 8202
p 2 0 6121 2039 43828 8389
p 2 0 5730 2430 51209 8128
p 2 0 5897 2263 45448 8111
p 2 0 5842 2318 69700 8082
p 2 0 6192 1968 62218 8710
p 2 0 5769 2391 68408 8268
i 2 8160 0 0 315975 24751
p 2 0 7094 1066 49772 10037
p 2 0 7266 894 63486 10320
p 2 0 7388 772 56683 10254
p 2 0 7278 882 76104 10056
p 2 0 6904 1256 38638 9158
p 2 0 6958 1202 50605 9547
p 2 0 7076 1084 42021 9534
p 2 1 7096 1063 61095 9595
p 2 0 6731 1429 33348 8734
p 2 6 6856 1298 66809 9648
p 2 0 6945 1215 38298 9178
p 2 5 6958 1197 79036 9665
p 2 0 6760 1400 34091 8745
p 2 5 6781 1374 63044 9474
p 2 0 6891 1269 36392 8959
p 2 3 6961 1196 74966 9441
p 2 0 6792 1368 36562 8740
p 2 2 6705 1453 66260 9231
p 2 0 6798 1362 39469 8794
p 2 0 6800 1360 74556 9185
p 2 0 6696 1464 35606 8634
