# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 467 7381 312 30595 9698
p 2 4139 2360 1661 56207 19538
i 2 8160 0 0 151466 26173
p 2 7588 572 0 240092 32362
p 2 1621 6515 24 298869 25857
p 2 7277 883 0 370579 37011
p 2 2150 6010 0 444852 31513
p 2 1828 6316 16 481661 30859
p 2 4671 3489 0 524577 38915
p 2 3835 4325 0 563859 37743
p 2 4275 3885 0 593456 39079
p 2 3580 4580 0 607761 37274
p 2 3115 5045 0 645906 36325
p 2 3187 4973 0 622534 36282
p 2 2810 5350 0 631832 34987
p 2 2556 5604 0 658830 34144
p 2 2620 5540 0 687277 34403
p 2 2388 5772 0 723471 33195
p 2 2492 5668 0 837147 33816
p 2 2258 5902 0 682986 31592
p 2 2333 5827 0 790658 32998
p 2 2033 6127 0 733753 31712
p 2 1756 6404 0 761190 30415
p 2 1841 6319 0 690594 30496
p 2 1686 6474 0 752998 30062
p 2 1512 6648 0 688002 29339
p 2 999 7160 1 699637 26290
p 2 1296 6864 0 590429 26954
p 2 1333 6827 0 658011 27739
p 2 970 7190 0 555050 25600
p 2 670 7489 1 565218 23896
p 2 820 7340 0 454799 23966
p 2 931 7228 1 524094 25682
p 2 629 7530 1 426656 23616
p 2 372 7788 0 436786 22345
p 2 486 7669 5 356225 22176
p 2 492 7666 2 393413 23136
p 2 350 7808 2 319923 22030
p 2 196 7962 2 326919 21300
p 2 239 7915 6 246830 20603
p 2 212 7942 6 260511 21573
p 2 235 7923 2 207477 20480
p 2 141 8011 8 209901 19833
p 2 122 8025 13 150767 18629
p 2 71 8065 24 163808 19113
p 2 45 8093 22 123658 17387
p 2 19 8126 15 134556 17563
p 2 15 8119 26 97082 15958
p 2 7 8083 70 101966 15734
p 2 14 8100 46 78885 14481
p 2 30 8073 57 93675 15215
p 2 36 8110 14 83505 14934
p 2 23 8110 27 81104 14171
p 2 8 8139 13 66861 14387
p 2 119 7986 55 69549 15173
p 2 33 8049 78 65194 15279
p 2 48 8066 46 60439 14769
p 2 2 8144 14 49817 15033
p 2 2 7895 263 42998 13629
p 2 22 8138 0 59694 14972
p 2 0 8087 73 48008 13689
p 2 3 8137 20 47765 14708
p 2 9 8001 150 44007 14128
p 2 14 8144 2 55321 14985
p 2 1 7918 241 41564 13831
p 2 0 8040 120 35035 13308
p 2 0 7705 455 32442 11832
p 2 0 7613 547 27805 10737
p 2 0 7333 827 25656 9562
p 2 0 7330 830 24123 9350
p 2 0 7303 857 35948 9698
i 2 8160 0 0 22564 22564
p 2 0 20 8140 1116 1104
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 564879 45202
p 2 3563 4597 0 735033 37221
p 2 3190 4970 0 741772 35201
p 2 0 5818 2342 54860 7099
p 2 3338 4822 0 721559 36120
p 2 0 5636 2524 50688 6867
p 2 3354 4806 0 746389 36590
p 2 0 5779 2381 57474 7077
p 2 3452 4708 0 734475 36903
p 2 0 5376 2784 45471 6576
p 2 3503 4657 0 724316 36704
p 2 0 5707 2453 54716 7020
p 2 3350 4810 0 722519 36323
p 2 0 5487 2673 46345 6696
p 2 3359 4801 0 739935 36500
p 2 0 5839 2321 60357 7158
p 2 3339 4821 0 742824 36652
p 2 0 5633 2527 53463 6897
p 2 3369 4791 0 746935 36576
p 2 0 6016 2144 64144 7382
p 2 3348 4812 0 744872 36663
p 2 0 4549 3611 25877 5439
p 2 3280 4880 0 743613 36648
p 2 0 4287 3873 15420 5126
p 2 3313 4847 0 742226 36767
p 2 0 4328 3832 18172 5197
p 2 3454 4706 0 736844 37135
p 2 0 4314 3846 19460 5194
p 2 3374 4786 0 745838 36830
p 2 0 4334 3826 19012 5206
p 2 3536 4624 0 741505 37290
p 2 0 4193 3967 17768 5065
p 2 3407 4753 0 741471 36752
p 2 0 4311 3849 19099 5184
p 2 3439 4721 0 740058 36885
p 2 0 4168 3992 15099 5009
p 2 3322 4838 0 758827 36909
p 2 0 4232 3928 15781 5090
p 2 3507 4653 0 739001 37206
p 2 0 3993 4167 14628 4854
p 2 3461 4699 0 734030 36729
p 2 0 4226 3934 15890 5087
p 2 3695 4465 0 719182 37662
p 2 0 3966 4194 14537 4801
p 2 3448 4712 0 729082 36859
p 2 0 4152 4008 15763 5004
p 2 3370 4790 0 724709 36480
p 2 0 4123 4037 14916 4967
p 2 3291 4869 0 738299 36852
p 2 0 4207 3953 14860 5049
p 2 3494 4666 0 724397 36959
p 2 0 4151 4009 14830 5001
p 2 3591 4569 0 723861 37298
p 2 0 4040 4120 14068 4887
p 2 3349 4811 0 731289 36575
p 2 0 4305 3855 16927 5169
p 2 3554 4606 0 714552 36945
p 2 0 4042 4118 16099 4916
p 2 3304 4856 0 719164 36283
p 2 0 4255 3905 16819 5114
p 2 3414 4746 0 728060 36921
p 2 0 4270 3890 19276 5154
p 2 3281 4879 0 731282 36462
p 2 0 4265 3895 17515 5129
p 2 3422 4738 0 725966 36738
p 2 0 4144 4016 17148 5018
p 2 3270 4890 0 740011 36342
p 2 0 4412 3748 18146 5262
p 2 3687 4473 0 702316 37419
p 2 0 4041 4119 16625 4927
p 2 3236 4924 0 732833 36229
p 2 0 4230 3930 16327 5074
p 2 3536 4624 0 731117 37306
p 2 0 8160 0 439606 12787
p 2 3485 4675 0 726001 36875
p 2 0 5906 2254 70989 7014
p 2 3353 4807 0 732036 36614
p 2 0 6590 1570 91226 7925
p 2 3215 4945 0 759212 36143
p 2 0 6190 1970 83714 7303
p 2 3385 4775 0 740914 36463
p 2 0 6849 1311 103836 8181
p 2 3392 4768 0 760865 36854
p 2 0 6528 1632 97181 7723
p 2 3373 4787 0 741881 36506
p 2 0 6996 1164 108247 8381
p 2 3335 4825 0 757364 36399
p 2 0 6369 1791 90538 7504
p 2 3342 4818 0 743566 36300
p 2 0 6827 1333 103241 8142
p 2 3325 4835 0 758596 36290
p 2 0 6411 1749 90471 7529
p 2 3518 4642 0 735227 36823
p 2 0 7112 1048 113532 8468
i 2 8160 0 0 196923 28227
p 2 0 3469 4691 8954 4627
p 2 0 2835 5325 6875 3774
p 2 0 1946 6214 5772 2947
p 2 0 1745 6415 7379 2831
p 2 0 1278 6882 4464 2336
p 2 0 986 7174 4364 2080
p 2 0 860 7300 3449 1937
p 2 0 887 7273 4553 2004
p 2 0 1608 6552 7196 2772
p 2 0 1280 6880 5290 2408
p 2 0 1290 6870 6974 2548
p 2 11 1305 6844 8955 2685
p 2 59 3612 4489 35646 5700
p 2 122 2886 5152 23955 5013
p 2 87 2498 5575 22759 4508
p 2 28 2457 5675 28476 4349
p 2 8 3414 4738 23752 5157
p 2 2 3041 5117 20753 4578
p 2 7 2823 5330 18137 4306
p 2 2 2877 5281 22750 4351
p 2 1 4205 3954 28045 5987
p 2 222 4093 3845 50866 7674
p 2 0 3880 4280 20227 5391
p 2 352 3990 3818 61889 7942
p 2 0 4630 3530 24748 6469
p 2 453 4355 3352 63051 9004
p 2 0 4410 3750 22618 6083
p 2 407 4578 3175 70656 9037
p 2 0 5039 3121 28416 7065
p 2 392 4767 3001 68724 9162
p 2 0 4704 3456 28885 6503
p 2 10 5195 2955 65282 8153
p 2 0 5016 3144 25838 6901
p 2 17 4868 3275 58618 7892
p 2 2 4575 3583 25949 6415
p 2 16 4792 3352 67620 7876
p 2 0 4917 3243 28857 6948
p 2 8 4778 3374 62425 7796
p 2 0 4431 3729 26460 6222
p 2 335 4845 2980 72839 9065
p 2 0 5263 2897 34069 7365
p 2 320 4846 2994 70406 9101
p 2 0 4797 3363 32935 6683
p 2 496 4736 2928 80742 9611
p 2 0 5117 3043 30066 7088
p 2 221 4789 3150 53664 8333
p 2 0 4790 3370 28109 6664
p 2 132 4906 3122 59397 8016
p 2 0 4811 3349 25775 6704
p 2 0 4314 3846 25712 6084
p 2 0 4169 3991 23835 5849
p 2 0 4222 3938 37572 5986
p 2 0 4431 3729 23320 6201
p 2 2 4219 3939 35132 6160
p 2 0 4119 4041 26096 5792
p 2 0 4261 3899 45598 6108
p 2 0 4399 3761 27570 6235
p 2 0 4199 3961 41750 6262
p 2 0 4052 4108 30971 5868
p 2 0 4176 3984 45996 6037
p 2 0 4289 3871 27599 6200
p 2 0 3917 4243 33630 5805
p 2 0 3825 4335 27640 5635
p 2 0 3967 4193 42927 5754
p 2 0 4268 3892 34676 6249
p 2 0 3879 4281 39114 5770
p 2 15 3877 4268 44209 6236
p 2 57 3983 4120 60590 6570
p 2 7 4879 3274 45710 7273
p 2 13 4352 3795 49233 6661
p 2 147 4502 3511 52952 7387
p 2 0 4514 3646 60733 6504
p 2 0 5342 2818 56540 7783
p 2 0 5008 3152 72671 7316
p 2 0 7860 300 229412 13130
p 2 0 6832 1328 44615 9205
p 2 0 6156 2004 49839 8418
p 2 0 5643 2517 43481 7837
p 2 0 5715 2445 58962 7846
p 2 0 5647 2513 38431 7798
p 2 0 5578 2582 44435 7853
p 2 0 5225 2935 42004 7366
p 2 0 5494 2666 56459 7555
p 2 0 5541 2619 41907 7824
p 2 0 5500 2660 52310 7845
p 2 0 5187 2973 46694 7384
p 2 0 5360 2800 67470 7516
p 2 0 5370 2790 47640 7623
p 2 0 5454 2706 54889 7741
p 2 195 5701 2264 80642 9949
p 2 0 5880 2280 71184 8249
p 2 287 6210 1663 82747 11101
p 2 0 6433 1727 60149 9161
p 2 85 6625 1450 94163 10905
p 2 0 6759 1401 83599 9644
p 2 154 6918 1088 95603 11904
p 2 0 7153 1007 78858 10532
p 2 154 6983 1023 104481 11883
p 2 0 7133 1027 98828 10546
p 2 125 7015 1020 96976 11872
p 2 0 7359 801 84163 11101
p 2 0 7083 1077 83621 10756
p 2 0 7169 991 102266 10769
p 2 0 7169 991 81158 10997
p 2 0 7464 696 90467 11459
p 2 1 7222 937 92014 11239
p 2 0 7328 832 108037 11166
p 2 0 7279 881 92868 11503
p 2 0 7528 632 95976 11749
p 2 0 7345 815 96446 11621
p 2 0 7470 690 114970 11594
p 2 0 7382 778 86476 11571
p 2 0 7603 557 96623 11829
p 2 0 7491 669 92896 11739
p 2 0 7567 593 114498 11659
p 2 0 7513 647 86471 11690
p 2 0 7634 526 97802 11925
p 2 0 7457 703 94740 11716
p 2 0 7624 536 116138 11728
p 2 0 7542 618 91421 11765
p 2 0 7683 477 99593 11967
p 2 0 7620 540 94759 11839
p 2 0 7644 516 114495 11730
p 2 57 7706 397 95082 12599
p 2 92 7560 508 107112 12697
p 2 196 7441 523 106905 13069
p 2 243 7447 470 140996 13471
p 2 292 7425 443 111135 13613
p 2 45 7737 378 138786 13263
p 2 8 7681 471 102764 12155
p 2 14 7691 455 134521 12062
p 2 11 7740 409 99785 12259
p 2 1 7794 365 110160 12415
p 2 0 7725 435 107270 12316
p 2 0 7781 379 131846 12123
p 2 0 7789 371 91722 12012
p 2 0 7817 343 102764 12314
