# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 57582 22945
i 2 8160 0 0 99645 23084
p 2 3000 5014 146 72171 23004
p 2 1635 6409 116 66710 22124
p 2 2500 5540 120 90253 23611
p 2 1755 6305 100 84722 22967
p 2 488 7574 98 86232 21450
p 2 768 7301 91 71157 21012
p 2 1196 6910 54 71585 21569
p 2 1234 6848 78 62838 21727
p 2 2151 5884 125 64336 22932
p 2 2993 4979 188 62958 23740
p 2 3239 4801 120 95246 24557
p 2 1509 6448 203 90309 23172
p 2 503 7446 211 70112 21370
p 2 657 7335 168 68553 20943
p 2 821 7122 217 65912 20720
p 2 2296 5600 264 75807 22940
p 2 3102 4676 382 70400 23725
p 2 3210 4607 343 90077 23834
p 2 1471 6400 289 94176 22701
p 2 399 7539 222 70952 21065
p 2 557 7423 180 74820 20621
p 2 602 7332 226 67158 20496
p 2 2448 5432 280 78207 23099
p 2 2487 5285 388 68529 22768
p 2 2898 4927 335 87838 23813
p 2 1531 6370 259 89986 22841
p 2 416 7496 248 70220 21042
p 2 430 7535 195 73996 20559
p 2 539 7384 237 65801 20110
p 2 1940 5935 285 80022 22492
p 2 2623 5111 426 74168 23045
p 2 2709 5152 299 93088 24081
p 2 1330 6533 297 88931 22440
p 2 300 7612 248 70639 20185
p 2 382 7567 211 79997 19993
p 2 391 7542 227 76098 19609
p 2 2345 5509 306 81532 22798
p 2 2750 4878 532 73736 22845
p 2 2478 5307 375 87807 23423
p 2 1099 6785 276 98137 22264
p 2 311 7586 263 76089 20025
p 2 276 7707 177 75832 19524
p 2 482 7395 283 72367 19350
p 2 1984 5890 286 77817 22397
p 2 2691 4881 588 73787 22500
p 2 2253 5464 443 85594 23031
p 2 1083 6767 310 97375 21852
p 2 265 7593 302 70161 19475
p 2 257 7603 300 71103 18471
p 2 452 7328 380 66715 18840
p 2 1862 5938 360 81319 22021
p 2 2565 4900 695 72198 21937
p 2 2050 5584 526 87500 22343
p 2 1023 6761 376 98620 21418
p 2 314 7476 370 72394 19201
p 2 161 7615 384 77650 18400
p 2 467 7164 529 71024 18441
p 2 1558 6238 364 86250 20971
p 2 2401 5145 614 75226 21876
p 2 2056 5575 529 97017 22214
p 2 1048 6628 484 83383 20958
p 2 267 7426 467 82477 18381
p 2 126 7526 508 67242 17103
p 2 373 7276 511 71301 17564
p 2 1548 6162 450 85927 20351
p 2 2223 5358 579 72357 21495
p 2 1803 5870 487 93999 22009
p 2 896 6794 470 83302 20666
p 2 197 7492 471 79803 18236
p 2 98 7647 415 63478 17378
p 2 333 7312 515 68723 17526
p 2 1538 6193 429 82822 20323
p 2 2356 5197 607 72567 21509
p 2 1854 5749 557 93132 21683
p 2 945 6763 452 76563 20600
p 2 261 7453 446 76990 17956
p 2 108 7577 475 61414 16822
p 2 447 7177 536 68746 17618
p 2 1515 6183 462 82820 20216
p 2 2285 5284 591 70886 21624
p 2 1923 5737 500 91551 22042
p 2 964 6708 488 78364 20633
p 2 261 7411 488 71211 18055
p 2 106 7539 515 61132 17174
p 2 312 7285 563 78838 17364
p 2 1533 6230 397 74138 20517
p 2 2278 5277 605 84952 21705
p 2 1992 5689 479 82286 22175
p 2 944 6733 483 76094 20682
p 2 238 7485 437 80619 18134
p 2 91 7589 480 109331 17746
p 2 365 7217 578 71508 17625
p 2 1553 6159 448 67612 20271
p 2 2290 5268 602 84299 21489
p 2 1842 5846 472 77078 21857
p 2 971 6713 476 91160 20451
p 2 205 7501 454 66019 18096
p 2 98 7625 437 64190 17280
p 2 332 7230 598 58303 17199
p 2 1564 6197 399 81478 20267
p 2 2378 5188 594 73326 21748
p 2 1971 5674 515 92783 22024
p 2 1045 6621 494 76376 20560
p 2 216 7470 474 75315 17822
p 2 136 7495 529 61084 16610
p 2 432 7153 575 65870 17381
p 2 1572 6130 458 81471 20239
p 2 2247 5300 613 72138 21492
p 2 1925 5715 520 91421 22025
p 2 942 6731 487 77135 20461
p 2 200 7473 487 76217 17942
p 2 102 7591 467 67339 17417
p 2 324 7291 545 71990 17759
p 2 1552 6178 430 81083 20237
p 2 2286 5251 623 72828 21460
p 2 1796 5814 550 92963 21732
p 2 984 6683 493 78135 20518
p 2 216 7479 465 76219 18036
p 2 113 7563 484 65551 16981
p 2 446 7199 515 65157 17428
p 2 1518 6196 446 83005 20441
p 2 2262 5286 612 71627 21710
p 2 1908 5692 560 92969 22011
p 2 983 6727 450 77470 20540
p 2 226 7431 503 73648 17861
p 2 108 7566 486 66703 17287
p 2 330 7263 567 69120 17585
p 2 1507 6249 404 80138 20305
p 2 2453 5101 606 73853 21972
p 2 1873 5695 592 89600 22031
p 2 877 6810 473 79202 20601
p 2 285 7413 462 78099 18337
p 2 138 7514 508 64855 17325
p 2 297 7292 571 63713 17393
p 2 1621 6107 432 68073 20092
p 2 2143 5374 643 63163 20921
p 2 2280 5478 402 78277 23038
p 2 1474 6402 284 96859 22584
p 2 492 7413 255 76236 20983
p 2 281 7696 183 78622 20005
p 2 927 6990 243 79058 21131
p 2 2489 5373 298 83648 23058
i 2 8160 0 0 56360 23962
i 2 8160 0 0 90787 23585
p 2 3415 4399 346 103569 23324
p 2 834 7047 279 69639 20759
p 2 836 7125 199 76472 20150
p 2 1160 6747 253 67836 20712
p 2 2856 4995 309 75434 23247
p 2 3554 4257 349 65712 24324
p 2 3499 4337 324 101720 23890
p 2 1712 6163 285 91353 22977
p 2 456 7439 265 70093 21035
p 2 629 7329 202 75628 20817
p 2 966 6949 245 70125 20639
p 2 2417 5429 314 82191 22532
p 2 3515 4317 328 65209 24210
p 2 3394 4443 323 105823 23669
p 2 1537 6308 315 89770 23058
p 2 497 7421 242 72832 21355
p 2 614 7353 193 69116 20700
p 2 891 7026 243 68075 20769
p 2 2238 5749 173 93419 23904
i 2 8160 0 0 173419 25479
p 2 2349 5598 213 103225 21402
p 2 668 6583 909 67515 14984
p 2 360 6619 1181 53706 13902
p 2 236 6867 1057 58598 13921
p 2 291 6672 1197 72661 13750
p 2 99 7030 1031 52886 13633
p 2 362 6215 1583 61073 13580
p 2 365 5985 1810 50392 12976
p 2 416 6713 1031 70683 13924
p 2 315 6901 944 54105 14160
p 2 217 6525 1418 60020 13596
p 2 389 6218 1553 52926 14074
p 2 132 6946 1082 79049 14150
p 2 465 6540 1155 66433 14726
p 2 391 6097 1672 71488 13644
p 2 397 5980 1783 65076 13298
p 2 238 6823 1099 89259 14000
p 2 170 6773 1217 59369 13530
p 2 162 6527 1471 57591 13751
p 2 133 6015 2012 57713 12372
p 2 373 5829 1958 52942 12685
p 2 381 5819 1960 58621 12925
p 2 341 5988 1831 60260 13035
p 2 214 6862 1084 85044 13829
p 2 194 6544 1422 68464 13272
p 2 163 6305 1692 64544 13120
p 2 146 5875 2139 66821 12171
p 2 355 5386 2419 63127 12206
p 2 342 6276 1542 68017 13366
p 2 384 6186 1590 71525 13374
p 2 295 6387 1478 83616 13143
p 2 118 6426 1616 64307 12820
p 2 235 6022 1903 59917 12689
p 2 122 5631 2407 64447 11913
p 2 365 5528 2267 58547 12149
p 2 299 5736 2125 64194 12715
p 2 349 5899 1912 67013 12839
p 2 276 6581 1303 81149 13184
p 2 97 6312 1751 62918 12733
p 2 248 6010 1902 60511 12653
p 2 122 5782 2256 64911 11908
p 2 392 5416 2352 58889 11984
p 2 374 6264 1522 63621 13247
p 2 323 6106 1731 66907 13107
p 2 274 6461 1425 76880 12911
p 2 107 6195 1858 60669 12371
p 2 235 6352 1573 59995 13063
p 2 130 5463 2567 62926 11767
p 2 390 5547 2223 57410 12198
p 2 334 6151 1675 64789 13048
p 2 359 6038 1763 76620 13011
p 2 328 5811 2021 59676 12526
p 2 223 5866 2071 64998 12214
p 2 149 5572 2439 55800 11895
p 2 126 6208 1826 60005 12507
p 2 387 6099 1674 75379 13311
p 2 311 6787 1062 63091 13707
p 2 357 5737 2066 66594 12703
p 2 302 6218 1640 57650 12823
p 2 126 7146 888 76950 13939
p 2 226 6336 1598 60931 13122
p 2 114 6300 1746 62836 13147
p 2 386 5931 1843 68052 12964
p 2 381 5601 2178 73607 12876
p 2 433 5907 1820 73548 13486
p 2 303 6363 1494 83764 13715
p 2 221 6770 1169 68417 13841
p 2 207 6256 1697 71833 13587
p 2 121 6821 1218 65525 13603
p 2 383 6104 1673 73638 13463
i 2 8160 0 0 384873 24634
p 2 7 7913 240 126540 13924
p 2 4 7775 381 97686 12465
p 2 4 7573 583 106760 11781
p 2 4 7554 602 86639 11449
p 2 2 7653 505 88268 12637
p 2 0 7745 415 172974 12272
p 2 4 7612 544 121093 12905
p 2 5 7685 470 114866 12510
p 2 5 7614 541 108538 12866
p 2 13 7532 615 135876 12251
p 2 75 7181 904 109198 12521
p 2 44 7486 630 120212 12490
p 2 4 7680 476 123601 13275
p 2 13 7564 583 132369 12405
p 2 0 7416 744 151774 12407
p 2 46 7492 622 126634 12467
p 2 3 7667 490 99842 12808
p 2 84 7133 943 126930 11739
p 2 1 7064 1095 87859 11277
p 2 169 7270 721 123622 12689
p 2 4 7136 1020 130997 11763
p 2 129 7183 848 123110 12448
p 2 8 7143 1009 102737 11596
p 2 127 6938 1095 119870 11951
p 2 8 7171 981 132391 11801
p 2 135 7215 810 125645 12570
p 2 2 7054 1104 99791 11601
p 2 133 6889 1138 121252 12034
p 2 0 7189 971 152950 12008
p 2 47 7317 796 149276 12260
p 2 3 7380 777 104486 11897
p 2 29 7519 612 176077 12408
p 2 4 7624 532 113742 12450
p 2 177 7119 864 154795 12542
p 2 0 7255 905 111048 11727
p 2 159 7387 614 170558 12833
p 2 2 7292 866 112749 11987
p 2 182 7127 851 166123 12688
p 2 5 7030 1125 105333 11556
p 2 97 7238 825 161999 12960
p 2 5 7259 896 152924 12188
p 2 202 7099 859 178971 13103
p 2 6 7357 797 113049 12026
p 2 300 7094 766 220485 13730
p 2 5 7186 969 110674 11894
p 2 167 6986 1007 180595 12966
p 2 9 7060 1091 107358 11643
p 2 208 7142 810 176273 13461
p 2 5 7187 968 169407 12148
p 2 222 7188 750 193490 13822
p 2 6 7210 944 139620 12235
p 2 180 7071 909 182517 13177
p 2 8 7304 848 173617 12408
p 2 319 7121 720 205274 14043
p 2 5 7335 820 135067 12279
p 2 172 7463 525 229550 13777
p 2 1 7508 651 122610 12653
p 2 178 7157 825 185921 13239
p 2 5 7205 950 118004 11866
p 2 198 7328 634 230340 13621
p 2 4 7162 994 124428 12007
p 2 188 7253 719 206417 13389
p 2 3 7154 1003 135547 12044
p 2 307 7189 664 214533 14538
p 2 83 7123 954 186414 12730
p 2 157 7248 755 197328 14002
p 2 49 7222 889 140908 12775
p 2 40 7156 964 178178 12507
p 2 4 7247 909 164192 12253
p 2 215 7050 895 193425 13195
p 2 5 7298 857 126348 12017
p 2 144 7266 750 216154 13057
p 2 4 7202 954 120498 11895
p 2 136 6935 1089 180609 12415
p 2 6 6876 1278 112807 11283
p 2 41 7129 990 167668 12324
p 2 3 6943 1214 152857 11363
p 2 39 7063 1058 180218 12127
p 2 0 7007 1153 136488 11486
p 2 120 6761 1279 180761 12072
p 2 3 6854 1303 157010 11642
p 2 86 6992 1082 179608 12385
p 2 2 6935 1223 138094 11618
p 2 28 6802 1330 171681 11679
p 2 1 6809 1350 158757 11608
p 2 26 6814 1320 159502 11625
p 2 148 6774 1238 125462 12278
p 2 22 6847 1291 148601 11875
