# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 57989 22962
i 2 8160 0 0 94432 23086
p 2 2935 5076 149 85627 22896
p 2 1591 6486 83 79325 22088
p 2 2611 5433 116 86098 23779
p 2 1726 6322 112 83750 23024
p 2 570 7486 104 84782 21423
p 2 729 7303 128 67955 20538
p 2 1307 6787 66 68701 21492
p 2 1261 6808 91 61058 21692
p 2 1959 6075 126 65585 22817
p 2 2783 5167 210 63768 23323
p 2 3311 4696 153 93605 24710
p 2 1499 6377 284 87759 23247
p 2 438 7488 234 68808 21410
p 2 664 7322 174 68218 21162
p 2 734 7184 242 64649 20858
p 2 2009 5853 298 77698 22779
p 2 2352 5507 301 67283 23034
p 2 2938 4881 341 89900 23705
p 2 1370 6496 294 90281 22762
p 2 368 7569 223 70051 21105
p 2 508 7474 178 73153 20956
p 2 539 7373 248 66634 20428
p 2 1950 5896 314 78822 22499
p 2 2879 4966 315 66274 23263
p 2 2941 4809 410 84808 23734
p 2 1346 6534 280 92616 22706
p 2 322 7582 256 72534 20844
p 2 471 7490 199 72559 20609
p 2 512 7377 271 66064 20007
p 2 2015 5833 312 77994 22784
p 2 2813 4911 436 73032 23019
p 2 2626 5200 334 88910 23759
p 2 1417 6411 332 97753 22450
p 2 268 7658 234 70669 20284
p 2 383 7575 202 71110 19788
p 2 383 7545 232 68452 19594
p 2 2091 5755 314 81987 22495
p 2 2797 4814 549 71331 22663
p 2 2546 5218 396 88650 23606
p 2 1197 6662 301 91323 22021
p 2 301 7588 271 74943 20199
p 2 245 7726 189 79379 19522
p 2 433 7435 292 74771 19399
p 2 1704 6158 298 79019 21962
p 2 2641 4896 623 73721 22256
p 2 2004 5697 459 86913 22743
p 2 1112 6735 313 92682 21857
p 2 219 7630 311 69116 19321
p 2 222 7554 384 69211 18656
p 2 447 7322 391 66907 18546
p 2 1768 6031 361 80545 21716
p 2 2601 4892 667 72545 22304
p 2 1981 5615 564 86083 22026
p 2 1056 6707 397 101394 21372
p 2 284 7455 421 73142 19261
p 2 135 7621 404 76129 18003
p 2 409 7215 536 70371 18315
p 2 1553 6214 393 86272 21153
p 2 2400 5145 615 76123 22123
p 2 2226 5410 524 95331 22407
p 2 1086 6585 489 82884 20799
p 2 260 7427 473 83745 18300
p 2 112 7564 484 68218 17205
p 2 402 7223 535 72292 17607
p 2 1544 6145 471 84841 20422
p 2 2234 5319 607 72500 21843
p 2 1682 5949 529 91605 21646
p 2 872 6811 477 82669 20654
p 2 192 7441 527 79148 18170
p 2 119 7557 484 62132 17230
p 2 332 7217 611 68698 17386
p 2 1529 6211 420 81496 20230
p 2 2492 5021 647 72256 21891
p 2 1932 5681 547 93452 22041
p 2 917 6749 494 75725 20267
p 2 227 7461 472 75908 17831
p 2 103 7475 582 61249 17085
p 2 326 7273 561 69946 17464
p 2 1506 6173 481 81642 20178
p 2 2216 5338 606 70787 21593
p 2 1895 5728 537 93143 21945
p 2 900 6733 527 78929 20585
p 2 235 7405 520 72371 17869
p 2 93 7556 511 61691 17157
p 2 300 7293 567 77748 17322
p 2 1513 6208 439 75818 20448
p 2 2393 5153 614 86646 21670
p 2 1819 5786 555 83257 21837
p 2 929 6692 539 77132 20457
p 2 251 7442 467 81615 18051
p 2 77 7639 444 112971 17935
p 2 359 7285 516 74525 17668
p 2 1562 6169 429 90465 20547
p 2 2321 5217 622 72566 21899
p 2 1882 5778 500 98254 22128
p 2 1072 6564 524 81616 20686
p 2 240 7390 530 82108 18156
p 2 114 7512 534 64569 16877
p 2 400 7139 621 68773 17352
p 2 1489 6208 463 83744 20173
p 2 2334 5206 620 74149 21509
p 2 1682 5900 578 96270 21576
p 2 919 6753 488 78131 20480
p 2 225 7451 484 76704 18109
p 2 121 7502 537 62884 17211
p 2 292 7301 567 69101 17326
p 2 1504 6193 463 82204 20210
p 2 2351 5214 595 71925 21682
p 2 1711 5906 543 90282 21712
p 2 1064 6588 508 78625 20559
p 2 218 7432 510 76908 17869
p 2 126 7528 506 66406 17014
p 2 369 7214 577 70066 17356
p 2 1503 6218 439 82600 20191
p 2 2320 5224 616 72297 21566
p 2 1943 5671 546 90563 21936
p 2 962 6694 504 78248 20429
p 2 216 7422 522 72258 18012
p 2 108 7515 537 66410 16964
p 2 379 7263 518 75497 17250
p 2 1520 6210 430 74173 20493
p 2 2221 5326 613 85395 21484
p 2 1679 5985 496 84082 21850
p 2 901 6775 484 94565 20536
p 2 240 7419 501 65247 17829
p 2 90 7599 471 73124 17507
p 2 328 7290 542 66189 17577
p 2 1539 6231 390 81786 20262
p 2 2304 5242 614 74686 21710
p 2 2048 5587 525 90870 22453
p 2 881 6765 514 78383 20585
p 2 259 7397 504 77118 18178
p 2 155 7463 542 63760 17318
p 2 283 7308 569 65922 17551
p 2 1557 6110 493 68311 20020
p 2 2091 5394 675 65645 20835
p 2 2532 5195 433 78595 23193
p 2 1452 6389 319 95455 22336
p 2 330 7561 269 80473 20547
p 2 369 7575 216 80600 19994
p 2 929 6972 259 81486 21073
p 2 2603 5247 310 86171 23112
i 2 8160 0 0 56096 23995
i 2 8160 0 0 96926 23604
p 2 3405 4415 340 88148 23553
p 2 711 7167 282 81492 20759
p 2 759 7186 215 70697 20476
p 2 1046 6874 240 66190 20626
p 2 2853 4980 327 76071 23323
p 2 3444 4354 362 65866 24265
p 2 3511 4323 326 109214 23912
p 2 1490 6395 275 103860 23254
p 2 512 7388 260 80468 21468
p 2 683 7272 205 80171 20935
p 2 969 6949 242 76196 20717
p 2 2466 5401 293 79074 22725
p 2 3416 4397 347 65669 23941
p 2 3450 4380 330 114642 23717
p 2 1672 6191 297 104945 23082
p 2 529 7393 238 72966 21341
p 2 683 7278 199 74388 20773
p 2 923 6997 240 67596 20612
i 2 8160 0 0 112662 23924
i 2 8160 0 0 205925 24389
p 2 1716 6159 285 83309 17587
p 2 15 7767 378 63974 12854
p 2 15 7552 593 73178 12203
p 2 22 7387 751 55306 11519
p 2 13 7495 652 61845 12217
p 2 33 7394 733 91594 11910
p 2 28 7617 515 52202 12157
p 2 30 7665 465 66959 12464
p 2 26 7696 438 57140 12512
p 2 34 7846 280 67686 13313
p 2 37 7745 378 105305 13742
p 2 30 7849 281 72821 13242
p 2 36 7950 174 80067 14402
p 2 22 7873 265 105236 13753
p 2 48 7927 185 70836 13885
p 2 63 7954 143 96983 14469
p 2 34 7986 140 113661 14575
p 2 31 8007 122 85684 13877
p 2 50 8037 73 109583 15612
p 2 47 8028 85 120609 14465
p 2 43 8067 50 91876 14393
p 2 99 8035 26 122286 15531
p 2 61 8066 33 153354 15534
p 2 48 8103 9 118837 15401
p 2 63 8092 5 152079 15905
p 2 104 8049 7 123015 15468
p 2 38 8118 4 186135 15923
p 2 64 8093 3 138209 15721
p 2 53 8100 7 177827 16278
p 2 133 8017 10 147920 16015
p 2 65 8085 10 202808 16456
p 2 56 8099 5 129039 15729
p 2 57 8087 16 174181 16237
p 2 77 8078 5 120677 15243
p 2 49 8107 4 158069 16118
p 2 41 8111 8 209140 15486
p 2 74 8072 14 120710 15420
p 2 67 8085 8 144013 15802
p 2 23 8118 19 160742 15169
p 2 34 8104 22 103096 14196
p 2 33 8120 7 140577 14934
p 2 17 8136 7 172946 14635
p 2 35 8112 13 88901 13910
p 2 14 8104 42 92169 14636
p 2 14 8071 75 117643 13753
p 2 17 8082 61 86515 13235
p 2 14 8123 23 92845 13597
p 2 12 8117 31 108456 14009
p 2 14 8093 53 169676 13950
p 2 27 8096 37 83619 13421
p 2 34 8015 111 70189 13035
p 2 13 8017 130 89139 12494
p 2 27 8036 97 62672 12227
p 2 72 7989 99 79967 13349
p 2 48 7979 133 79461 13440
p 2 38 7963 159 165782 13838
p 2 32 7720 408 80419 12761
p 2 48 7499 613 74177 12483
p 2 8 7506 646 77829 11650
p 2 7 7347 806 55526 11069
p 2 13 7494 653 63018 11708
p 2 15 7714 431 138702 12423
p 2 10 7416 734 80908 12010
p 2 18 7345 797 74585 11951
p 2 8 7256 896 72302 11498
p 2 8 7095 1057 90849 10988
p 2 11 6991 1158 71078 10823
p 2 17 7112 1031 71325 11165
p 2 38 7396 726 65701 11892
p 2 31 7163 966 83903 11742
p 2 43 7438 679 139251 12182
p 2 23 7130 1007 84363 11664
p 2 26 7520 614 82016 12024
p 2 10 6986 1164 99655 11044
p 2 8 7241 911 61930 10977
p 2 19 7366 775 86535 11762
p 2 32 7235 893 140215 11709
p 2 40 7003 1117 86834 11581
p 2 41 7031 1088 112693 11480
p 2 31 6809 1320 86351 10963
p 2 39 7286 835 107991 11894
p 2 37 7137 986 134857 11690
i 2 8160 0 0 282555 26275
p 2 1 7830 329 102532 12539
p 2 0 7704 456 95351 11798
p 2 0 7594 566 99146 11254
p 2 0 7785 375 93730 11413
p 2 0 7704 456 94641 11557
p 2 1 7833 326 125115 11766
p 2 0 7679 481 78949 11437
p 2 0 7711 449 78927 11562
p 2 0 7553 607 82079 11023
p 2 0 7617 543 77760 11245
p 2 0 7805 355 77533 11669
p 2 0 7715 445 85329 11725
p 2 0 7764 396 117732 11713
p 2 0 7611 549 89832 11556
p 2 0 7646 514 85523 11617
p 2 0 7449 711 94160 11041
p 2 0 7580 580 81882 11108
p 2 0 7706 454 94158 11740
p 2 0 7702 458 118326 11650
p 2 0 7582 578 81703 11513
p 2 0 7602 558 78587 11542
p 2 0 7411 749 97443 11163
p 2 0 7497 663 80810 11323
p 2 0 7644 516 88343 11808
p 2 62 7573 525 89540 12144
p 2 33 7609 518 129510 12211
p 2 1 7642 517 94102 11761
p 2 0 7516 644 107933 11558
p 2 0 7505 655 92283 11424
p 2 3 7679 478 105134 12047
p 2 30 7626 504 124637 12084
p 2 1 7596 563 122697 12139
p 2 0 7753 407 111801 12142
p 2 0 7505 655 122815 11712
p 2 0 7600 560 105420 11625
p 2 0 7682 478 124596 12241
p 2 0 7716 444 125209 11990
p 2 0 7488 672 93455 11482
p 2 0 7488 672 84136 11368
p 2 0 7223 937 92069 10731
p 2 0 7297 863 82287 10826
p 2 0 7352 808 87186 11325
p 2 420 6993 747 85201 12401
p 2 0 7407 753 106298 11106
p 2 273 7020 867 95487 11971
p 2 146 7278 736 96932 12186
p 2 43 7300 817 109381 11909
p 2 10 7036 1114 112680 10897
p 2 5 7246 909 95997 11013
p 2 0 7416 744 89971 11284
p 2 0 7451 709 88966 11326
p 2 0 7543 617 125461 11455
p 2 0 7470 690 88995 11286
p 2 0 7380 780 87481 11155
p 2 0 7095 1065 85034 10345
p 2 0 7017 1143 77795 10179
p 2 0 7094 1066 82721 10663
p 2 47 7354 759 139449 11831
p 2 0 7348 812 82428 10902
p 2 65 7297 798 123188 11593
p 2 1 7062 1097 74591 10299
p 2 77 7289 794 119535 12133
p 2 0 7274 886 99753 10732
p 2 64 7243 853 106196 11663
p 2 0 7135 1025 55515 10213
p 2 41 7308 811 119932 11482
p 2 0 7036 1124 44136 10032
p 2 5 6711 1444 49466 9569
p 2 0 6600 1560 35726 9024
p 2 7 6672 1481 45405 9635
p 2 0 6573 1587 56810 8996
p 2 0 6637 1523 46408 9287
p 2 0 6420 1740 36347 9055
p 2 1 6132 2027 42697 8452
p 2 0 6055 2105 33283 8235
p 2 1 6297 1862 39504 8979
p 2 0 6245 1915 39697 8835
p 2 1 6080 2079 61994 8598
p 2 1 6269 1890 40089 8815
p 2 3 6484 1673 44892 9336
